t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60231,23992,36239,16982,13739,0.80903,6,19,27,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,540210,370264
2,60019,23807,36212,15432,12250,0.79381,10,24,31,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540209,370263
3,60235,24039,36196,16964,13858,0.81691,4,12,19,68,0,105,9,0,0,0,0,0,0,0,0,0,0,0,0,571380,401434
4,60019,23997,36022,15213,12178,0.80050,9,21,29,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571384,401438
5,60083,23925,36158,16673,13619,0.81683,7,20,28,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,571382,401436
6,60039,23988,36051,15536,12655,0.81456,10,23,29,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571384,401438
7,60012,24080,35932,17030,14153,0.83106,3,9,13,60,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,571383,401438
8,60019,24020,35999,15775,12945,0.82060,4,14,21,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571383,401437
9,60311,24303,36008,17245,14502,0.84094,4,13,20,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,571384,401438
10,60001,23954,36047,15786,13153,0.83321,9,22,29,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571380,401434
11,60308,24135,36173,16830,14163,0.84153,4,15,24,64,0,126,9,0,0,0,0,0,0,0,0,0,0,0,0,608319,438373
12,60305,24118,36187,15412,12836,0.83286,8,21,28,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608319,438373
13,60270,24025,36245,16749,14088,0.84112,4,13,23,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,608319,438373
14,60302,24141,36161,15725,13200,0.83943,7,18,28,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608318,438372
15,60005,24042,35963,17100,14656,0.85708,3,9,15,78,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,608317,438371
16,60303,24162,36141,15801,13358,0.84539,7,19,29,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608319,438373
17,60007,24028,35979,16955,14645,0.86376,7,20,28,57,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,608317,438371
