t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60006,44920,15086,45692,31505,0.68951,4,8,156,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375256,890430
2,60325,45390,14935,46137,33509,0.72629,5,10,26,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375254,890428
3,60070,45182,14888,45804,34362,0.75020,6,12,70,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375257,890431
4,59990,44972,15018,45828,33088,0.72200,4,8,116,50,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1375256,890430
5,60260,45207,15053,46521,34820,0.74848,6,12,22,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375257,890431
6,60060,44898,15162,46006,35123,0.76344,4,8,152,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375257,890431
7,60199,45256,14943,46397,33228,0.71617,4,9,18,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375257,890431
8,60580,45251,15329,46432,33730,0.72644,5,10,15,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375255,890429
9,60215,45278,14937,46769,34852,0.74519,5,10,18,3328,0,109,13,0,0,0,0,0,0,0,0,0,0,0,0,1403785,918959
10,60031,45287,14744,45373,34524,0.76089,6,11,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403785,918959
11,60014,44996,15018,44973,33006,0.73391,4,9,148,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403783,918958
12,60500,45452,15048,45474,32976,0.72516,5,10,20,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403785,918959
13,60117,44957,15160,44921,32976,0.73409,4,10,160,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403782,918956
