t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60217,45121,15096,45989,31477,0.68445,5,10,160,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378280,756209
2,60039,45079,14960,45747,32927,0.71976,7,13,27,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378275,756206
3,60010,45162,14848,45834,33992,0.74163,6,12,116,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378276,756208
4,60048,45018,15030,45955,32776,0.71322,5,10,128,41,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1378280,756209
5,60020,44980,15040,46326,34584,0.74654,6,12,22,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378281,756211
6,60067,44958,15109,46014,34804,0.75638,7,13,24,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378281,756210
7,60002,45065,14937,46182,32698,0.70802,7,12,64,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378282,756212
8,60044,44865,15179,46085,33311,0.72282,7,13,24,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378283,756212
9,59990,45075,14915,46671,34590,0.74115,6,13,23,3456,0,83,13,0,0,0,0,0,0,0,0,0,0,0,0,1400102,768023
10,60219,45464,14755,45699,34867,0.76297,6,10,24,63,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1406945,768470
11,60015,45044,14971,45016,33140,0.73618,5,10,156,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406940,768465
12,60041,45216,14825,45248,33502,0.74041,6,12,30,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406946,768470
13,60005,44961,15044,44888,32980,0.73472,4,13,160,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406945,768469
14,60013,44937,15076,45426,32681,0.71943,4,8,156,38,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1406946,768470
15,59989,45059,14930,45476,32560,0.71598,6,12,34,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406943,768467
16,60010,45204,14806,45656,32240,0.70615,5,12,160,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406940,768464
17,60089,45147,14942,45567,32259,0.70795,4,9,156,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406945,768470
18,60017,45029,14988,45388,34328,0.75632,5,9,160,43,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1406945,768469
19,60015,45088,14927,46143,34858,0.75543,4,10,160,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406943,768468
20,60036,45004,15032,45922,33078,0.72031,4,8,156,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406944,768469
21,60445,45368,15077,46126,33530,0.72692,5,11,160,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406944,768468
22,60000,45095,14905,45828,31742,0.69263,5,10,160,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406944,768469
23,60010,44881,15129,45702,27867,0.60975,5,10,160,34,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1406938,768466
24,60451,45324,15127,46622,28556,0.61250,5,72,160,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406945,768470
25,60183,45219,14964,46387,28808,0.62104,4,96,152,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406944,768469
26,60022,44822,15200,45883,30011,0.65408,5,11,152,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406943,768467
