t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60013,44991,15022,45385,41792,0.92083,6,11,172,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366852,1226777
2,60017,45123,14894,45292,41231,0.91034,6,10,172,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366844,1226769
3,60018,45142,14876,44978,40748,0.90595,6,10,168,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366851,1226776
4,60003,44913,15090,45442,41277,0.90834,6,10,168,31,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1366849,1226774
5,60117,45032,15085,46149,41985,0.90977,7,12,140,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366847,1226773
6,60007,45000,15007,45828,42106,0.91878,7,16,25,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366850,1226776
7,60020,44965,15055,45474,42196,0.92791,8,17,24,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366847,1226772
8,60312,45343,14969,45614,43156,0.94611,9,16,21,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366852,1226777
9,60295,45317,14978,46126,42955,0.93125,5,15,21,3008,0,106,13,0,0,0,0,0,0,0,0,0,0,0,0,1394920,1246447
10,60077,45062,15015,45060,41213,0.91462,8,16,23,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394921,1246448
11,60205,45034,15171,44752,40846,0.91272,7,14,180,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394921,1246448
12,60034,45060,14974,44508,39950,0.89759,5,9,168,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394920,1246447
13,60066,44983,15083,44250,38779,0.87636,5,9,160,33,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1394921,1246448
14,59999,45023,14976,45559,39281,0.86220,6,11,19,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394918,1246445
15,60018,45179,14839,45531,39064,0.85796,7,14,24,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394915,1246443
16,60014,45015,14999,45096,38682,0.85777,8,15,160,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394918,1246445
17,60028,45108,14920,44990,39068,0.86837,8,16,176,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394920,1246447
18,59993,45000,14993,44955,39618,0.88128,8,17,118,43,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1394916,1246443
19,60014,45215,14799,46142,41542,0.90031,6,11,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394917,1246444
20,60307,45296,15011,46071,42309,0.91834,8,16,23,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394921,1246448
21,60271,45239,15032,45678,42891,0.93899,10,19,26,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394919,1246446
22,60318,45309,15009,45478,43153,0.94888,8,16,23,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394921,1246448
23,60272,45214,15058,45737,43685,0.95513,8,17,30,45,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1394921,1246448
24,60000,45164,14836,46266,44143,0.95411,6,11,156,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394917,1246444
25,60316,45131,15185,45986,43790,0.95225,7,15,160,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394919,1246446
26,60030,44802,15228,45470,43131,0.94856,9,18,168,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394914,1246441
27,60321,45181,15140,45659,43269,0.94766,8,16,148,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394920,1246447
28,60000,45055,14945,45999,43005,0.93491,4,11,24,3264,0,158,13,0,0,0,0,0,0,0,0,0,0,0,0,1436541,1268802
29,60315,45117,15198,45219,40210,0.88923,8,16,25,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436545,1268806
30,59988,45144,14844,45024,41252,0.91622,10,19,26,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436544,1268805
31,60279,45324,14955,44975,41799,0.92938,8,17,24,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436538,1268801
32,60124,45142,14982,44559,41933,0.94107,8,18,31,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436545,1268806
33,60068,45051,15017,45479,43075,0.94714,6,14,116,66,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1436545,1268806
34,60603,45389,15214,45718,42549,0.93068,8,17,176,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436545,1268806
35,60593,45586,15007,45651,41019,0.89853,7,14,176,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436545,1268806
36,60016,45001,15015,44793,39365,0.87882,7,13,172,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436544,1268805
37,60245,45349,14896,44946,39609,0.88126,8,17,28,47,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1436542,1268803
38,60137,45076,15061,45886,40933,0.89206,9,19,27,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436544,1268805
39,60261,45186,15075,45742,40938,0.89498,9,19,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436541,1268802
40,60197,45238,14959,45561,41020,0.90033,11,21,30,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436543,1268805
41,60173,45096,15077,45112,40811,0.90466,9,19,32,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436543,1268804
42,60597,45678,14919,46021,41823,0.90878,10,20,31,50,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1436545,1268806
43,60605,45198,15407,46369,42808,0.92320,10,19,27,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436545,1268806
44,60016,44908,15108,45763,42697,0.93300,10,19,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436543,1268804
45,60259,45238,15021,45748,43072,0.94151,10,19,26,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436545,1268806
46,60277,45237,15040,45489,43130,0.94814,12,20,27,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436540,1268801
47,60122,45021,15101,45820,43621,0.95201,6,18,25,3200,0,162,13,0,0,0,0,0,0,0,0,0,0,0,0,1479586,1289643
48,60121,45023,15098,45154,40026,0.88643,7,16,24,53,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1491720,1292507
49,60053,45280,14773,45123,41398,0.91745,10,19,26,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491719,1292506
50,60270,45169,15101,44732,41426,0.92609,7,12,160,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491719,1292506
51,60618,45550,15068,44824,41607,0.92823,9,19,184,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491722,1292509
52,60237,45409,14828,45719,42042,0.91957,5,10,172,26,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1491721,1292508
53,60013,45249,14764,45706,41648,0.91122,5,9,168,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491722,1292509
54,60012,45094,14918,45254,41006,0.90613,6,10,168,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491721,1292508
55,60587,45590,14997,45502,41508,0.91222,7,15,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491720,1292507
56,60040,45017,15023,44658,41073,0.91972,12,21,28,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491722,1292509
57,60062,45167,14895,46060,42883,0.93102,9,18,25,53,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1491716,1292503
58,60617,45381,15236,45954,43123,0.93839,11,20,31,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491722,1292509
59,60127,45007,15120,45314,42618,0.94050,8,17,37,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491721,1292508
60,60012,44872,15140,44822,42097,0.93920,11,20,29,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491720,1292508
61,60448,45502,14946,45455,42246,0.92940,10,20,28,52,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1491722,1292509
62,60075,45112,14963,46390,42873,0.92419,7,11,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491722,1292509
63,60588,45531,15057,46508,42620,0.91640,8,17,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491722,1292509
64,60491,45416,15075,46115,41746,0.90526,12,22,36,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491721,1292508
65,60255,45274,14981,45767,41198,0.90017,10,20,132,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491720,1292507
66,60574,45305,15269,46040,41793,0.90775,9,20,30,2688,0,114,13,0,0,0,0,0,0,0,0,0,0,0,0,1522336,1305152
67,60558,45527,15031,46114,40003,0.86748,5,10,16,1824,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,1558639,1316275
68,60617,45458,15159,45210,40071,0.88633,10,19,27,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558641,1316277
69,60009,45124,14885,44648,41440,0.92815,11,20,27,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558640,1316276
70,60073,45148,14925,44318,41871,0.94479,8,18,84,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558641,1316277
71,60339,45149,15190,44995,42436,0.94313,5,10,168,35,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1558638,1316274
72,60021,45071,14950,45543,42840,0.94065,6,11,164,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558637,1316273
73,60020,44845,15175,44997,42089,0.93537,9,19,176,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558641,1316277
74,60134,45100,15034,45036,41808,0.92832,10,19,180,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558641,1316277
75,60333,45147,15186,44801,41146,0.91842,10,20,176,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558641,1316277
76,60217,45050,15167,45795,41907,0.91510,5,11,164,33,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1558641,1316277
77,60114,45174,14940,46035,41955,0.91137,9,18,31,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558636,1316274
78,60618,45705,14913,46326,42388,0.91499,12,21,28,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558640,1316276
79,60610,45296,15314,45640,42142,0.92336,8,18,25,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558641,1316277
80,60212,45088,15124,45149,42177,0.93417,11,20,27,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558638,1316274
81,60618,45516,15102,46873,44549,0.95042,9,19,27,66,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1558641,1316277
82,60251,45275,14976,46328,44657,0.96393,11,19,26,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558637,1316273
83,60014,44907,15107,45802,44478,0.97109,12,20,27,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558639,1316275
84,60087,45183,14904,45707,44318,0.96961,11,19,25,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558636,1316272
85,60033,44819,15214,45489,43972,0.96665,8,17,23,60,0,217,13,0,0,0,0,0,0,0,0,0,0,0,0,1616560,1338062
86,60086,44984,15102,45351,39505,0.87109,4,9,14,3072,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,1681098,1342519
87,60620,45408,15212,45241,40335,0.89156,8,16,24,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681099,1342520
88,60062,45113,14949,44647,40910,0.91630,10,20,27,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681096,1342518
89,60059,45147,14912,44383,41049,0.92488,11,20,29,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681098,1342519
90,60478,45316,15162,45312,42568,0.93944,8,18,27,51,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1681097,1342518
91,60013,45056,14957,45454,43213,0.95070,10,18,26,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681096,1342517
92,60021,44949,15072,45022,42865,0.95209,10,18,30,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681098,1342519
93,60622,45452,15170,45235,43312,0.95749,9,18,35,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681100,1342521
94,60209,44994,15215,44386,42240,0.95165,7,15,168,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681096,1342517
95,60168,45218,14950,45977,43069,0.93675,5,9,164,19,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1681098,1342519
96,60597,45386,15211,46079,42304,0.91808,4,9,148,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681100,1342521
97,60603,45436,15167,45908,41947,0.91372,5,15,108,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681100,1342521
98,60385,45268,15117,45422,41294,0.90912,5,9,160,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681098,1342519
99,60007,44964,15043,45083,40647,0.90160,3,6,160,68,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1681099,1342520
100,60020,44824,15196,46215,41379,0.89536,3,6,152,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681097,1342518
101,60612,45487,15125,46619,41677,0.89399,8,17,106,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681100,1342521
102,60047,45052,14995,45967,41398,0.90060,9,19,28,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681100,1342521
103,60591,45258,15333,45893,41943,0.91393,11,20,28,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681100,1342521
104,60617,45465,15152,46221,42557,0.92073,9,19,30,80,0,180,13,0,0,0,0,0,0,0,0,0,0,0,0,1728814,1365917
105,60008,45088,14920,45344,39348,0.86777,6,11,34,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728811,1365914
106,60021,44996,15025,44914,40231,0.89573,7,17,144,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728812,1365915
107,60033,44986,15047,44619,40253,0.90215,7,12,180,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728812,1365915
108,60007,44953,15054,44339,40247,0.90771,7,12,168,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728807,1365912
109,60615,45494,15121,45484,41689,0.91656,7,13,29,35,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1728814,1365917
110,60401,45094,15307,45643,42117,0.92275,7,16,126,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728814,1365917
111,60285,45438,14847,45705,42316,0.92585,6,11,168,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728814,1365917
112,60611,45308,15303,45409,42009,0.92512,8,17,140,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728814,1365917
113,60269,45144,15125,44976,41729,0.92781,11,20,32,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728811,1365914
114,60419,45292,15127,46041,42854,0.93078,8,17,25,50,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1728810,1365913
115,60170,44991,15179,45908,43139,0.93968,11,20,27,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728814,1365917
116,60499,45602,14897,46361,43786,0.94446,12,20,28,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728814,1365917
117,60089,45208,14881,45661,43112,0.94418,11,20,27,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728811,1365914
118,60130,45175,14955,45252,42364,0.93618,9,18,26,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728814,1365917
119,60133,45001,15132,46319,42576,0.91919,7,16,45,47,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1728813,1365916
120,60018,44963,15055,46112,41665,0.90356,9,19,38,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728811,1365914
121,60060,44915,15145,45687,40733,0.89157,10,20,172,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728812,1365915
122,60019,44872,15147,45455,40378,0.88831,11,22,184,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728811,1365914
123,60187,44977,15210,45693,40890,0.89489,9,20,180,43,0,116,13,0,0,0,0,0,0,0,0,0,0,0,0,1759835,1373318
124,60154,45153,15001,45796,38748,0.84610,4,8,164,29,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,1789897,1387205
125,60613,45259,15354,45277,39304,0.86808,6,11,168,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789899,1387207
126,60043,44984,15059,44761,40157,0.89714,8,16,27,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789896,1387204
127,60486,45302,15184,44820,41193,0.91908,10,19,27,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789898,1387206
128,60456,45415,15041,45436,42374,0.93261,8,18,32,49,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1789899,1387207
129,60600,45509,15091,46162,43319,0.93841,8,17,172,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789899,1387207
130,60086,45116,14970,45469,41887,0.92122,8,18,180,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789894,1387202
131,60182,45244,14938,45361,40451,0.89176,8,16,180,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789899,1387207
132,60131,45065,15066,45042,39239,0.87116,7,12,172,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789899,1387207
133,59996,45062,14934,45674,39644,0.86798,7,13,128,35,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1789897,1387205
134,60142,45130,15012,46088,40176,0.87172,5,10,168,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789896,1387205
135,60614,45486,15128,46212,40733,0.88144,6,12,164,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789897,1387205
136,60339,45118,15221,45666,40643,0.89001,10,20,34,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789896,1387204
137,60146,44946,15200,45349,40974,0.90353,11,21,29,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789899,1387207
138,60008,45107,14901,46413,42553,0.91683,8,18,25,55,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1789897,1387206
139,60266,45104,15162,46460,43070,0.92703,9,18,25,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789895,1387203
140,60609,45409,15200,46495,43863,0.94339,10,19,26,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789899,1387207
141,60523,45118,15405,45937,43614,0.94943,11,20,28,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789897,1387205
142,60320,45212,15108,46086,43467,0.94317,9,19,176,47,0,102,13,0,0,0,0,0,0,0,0,0,0,0,0,1817021,1394188
143,60257,45229,15028,46004,40464,0.87958,4,8,156,136,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,1879647,1409730
144,60607,45488,15119,45559,40074,0.87961,8,19,33,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879651,1409733
145,60018,44981,15037,44888,40164,0.89476,11,22,29,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879649,1409731
146,60085,45008,15077,44660,40489,0.90661,11,21,28,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879648,1409732
