t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59992,44953,15039,45492,40673,0.89407,6,11,16,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365077,1132791
2,60014,45131,14883,45382,40249,0.88689,6,11,16,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365073,1132788
3,60007,45165,14842,45033,39771,0.88315,7,12,18,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365076,1132790
4,60023,44875,15148,45023,39694,0.88164,7,12,18,51,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1365071,1132787
5,60016,44934,15082,46093,40273,0.87373,5,11,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365077,1132791
6,60021,45116,14905,45973,41349,0.89942,5,10,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365079,1132793
7,60227,45029,15198,45621,41762,0.91541,5,10,15,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365079,1132793
8,60016,45101,14915,45346,42348,0.93389,4,9,16,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365079,1132793
9,60004,45280,14724,46012,42411,0.92174,3,8,17,2944,0,106,13,0,0,0,0,0,0,0,0,0,0,0,0,1393317,1145497
10,60007,44844,15163,44995,39548,0.87894,3,8,14,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393313,1145494
11,60015,44858,15157,44632,39128,0.87668,4,8,156,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393315,1145496
12,60183,45054,15129,44626,38281,0.85782,4,8,160,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393315,1145495
13,60011,44923,15088,44223,37182,0.84078,5,9,102,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393313,1145494
14,60066,45161,14905,45286,37121,0.81970,4,8,16,43,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1393316,1145497
15,59998,45212,14786,45599,37707,0.82693,4,9,13,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393314,1145495
16,60004,45088,14916,45294,37907,0.83691,6,11,16,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393316,1145496
17,60025,44990,15035,44964,38096,0.84726,6,11,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393317,1145497
