t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59407,44538,14869,45088,40879,0.90665,12,25,304,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365200,1205618
2,60018,45072,14946,45367,40618,0.89532,12,25,288,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365202,1205621
3,60040,45061,14979,45122,39964,0.88569,11,24,280,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365202,1205620
4,59951,44912,15039,45227,39880,0.88177,12,24,236,51,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1365200,1205619
5,60218,45075,15143,46162,41150,0.89143,12,24,37,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365200,1205618
6,60142,45048,15094,45866,41567,0.90627,9,19,28,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365203,1205621
7,60232,45217,15015,45808,42271,0.92279,12,23,31,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365203,1205621
8,59526,44709,14817,44995,41985,0.93310,13,22,31,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365199,1205618
9,60468,45546,14922,46554,43877,0.94250,7,20,31,4032,0,106,13,0,0,0,0,0,0,0,0,0,0,0,0,1393404,1233822
10,60003,45182,14821,45319,42742,0.94314,9,19,35,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393404,1233822
11,59917,44940,14977,44782,42405,0.94692,11,19,31,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393400,1233818
12,59976,44853,15123,44476,42313,0.95137,12,20,31,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393402,1233820
13,59509,44635,14874,43920,41968,0.95556,12,19,30,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393399,1233817
14,60253,45396,14857,45830,43754,0.95470,7,16,31,51,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1393400,1233818
15,60351,45149,15202,45518,43253,0.95024,12,21,36,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393402,1233820
16,59440,44697,14743,44911,42718,0.95117,12,21,31,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393399,1233817
17,60026,45063,14963,44865,42923,0.95671,14,22,31,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393401,1233819
18,60535,45330,15205,44987,43351,0.96363,12,20,27,54,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1393404,1233822
19,60001,44882,15119,45865,44695,0.97449,12,20,28,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393404,1233822
20,59452,44352,15100,45048,44108,0.97913,14,20,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393402,1233820
21,60405,45317,15088,45576,44468,0.97569,13,20,70,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393404,1233822
22,60141,45196,14945,45123,43947,0.97394,8,17,26,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393404,1233822
23,59558,44663,14895,44745,43579,0.97394,11,19,27,66,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1393402,1233820
24,59867,44900,14967,45996,44904,0.97626,13,20,32,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393402,1233820
25,59975,44858,15117,45693,44251,0.96844,12,20,184,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393403,1233821
26,60007,44892,15115,45436,43536,0.95818,13,21,196,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393402,1233820
27,60211,45079,15132,45240,43229,0.95555,13,21,114,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393402,1233820
28,60039,45067,14972,45977,43879,0.95437,9,19,28,3072,0,121,13,0,0,0,0,0,0,0,0,0,0,0,0,1425999,1266417
29,59749,44931,14818,45124,43099,0.95512,7,15,22,45,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1435204,1275622
30,60595,45554,15041,45307,43538,0.96096,9,17,25,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435206,1275624
31,59546,44560,14986,44026,42394,0.96293,13,20,29,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435204,1275623
32,59869,44851,15018,44062,41847,0.94973,13,21,36,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435208,1275626
33,60506,45557,14949,45617,42426,0.93005,7,18,180,49,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1435208,1275626
34,59497,44701,14796,45089,41778,0.92657,12,23,188,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435205,1275623
35,59968,44937,15031,45074,41968,0.93109,10,19,29,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435206,1275624
36,60571,45501,15070,45366,42536,0.93762,12,21,31,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435206,1275624
37,59645,44879,14766,44527,41694,0.93638,12,22,180,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435209,1275627
38,59962,45031,14931,45692,42130,0.92204,7,16,180,41,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1435206,1275624
39,59823,44878,14945,45655,41513,0.90928,13,25,200,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435207,1275625
40,60285,45384,14901,45939,41703,0.90779,13,25,140,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435205,1275623
