t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59449,44696,14753,45290,41498,0.91627,12,23,192,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364943,1195635
2,60159,45154,15005,45561,41754,0.91644,13,24,188,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364940,1195632
3,60378,45295,15083,45426,41716,0.91833,14,24,35,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364943,1195636
4,60011,45146,14865,45344,42134,0.92921,13,22,32,53,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1364940,1195633
5,60005,45058,14947,46382,43709,0.94237,13,22,31,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364943,1195635
6,59538,44578,14960,45585,43495,0.95415,14,22,31,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364943,1195635
7,59866,44927,14939,45758,44027,0.96217,8,15,21,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364945,1195637
8,60087,44982,15105,45496,44324,0.97424,13,20,28,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364941,1195633
9,60510,45475,15035,46346,45295,0.97732,11,19,29,3136,0,85,13,0,0,0,0,0,0,0,0,0,0,0,0,1387862,1212598
10,59396,44363,15033,44559,39985,0.89735,5,10,172,26,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1393191,1215458
11,60604,45221,15383,45110,40661,0.90137,10,23,188,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393193,1215460
12,59767,44838,14929,44411,40008,0.90086,13,25,200,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393190,1215458
13,60164,45246,14918,44551,40210,0.90256,11,21,176,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393189,1215456
14,59817,44983,14834,45113,40842,0.90533,9,20,184,53,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1393191,1215458
15,60061,44886,15175,45277,40984,0.90518,12,25,200,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393193,1215460
16,59627,44769,14858,44916,41121,0.91551,5,11,160,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393193,1215460
17,60330,45255,15075,45084,41551,0.92164,13,24,35,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393192,1215459
18,59685,45019,14666,44690,41669,0.93240,13,23,34,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393192,1215459
19,60208,45116,15092,45725,43015,0.94073,11,21,40,55,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1393193,1215460
20,60324,45236,15088,45974,43612,0.94862,13,22,35,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393194,1215461
21,60007,44938,15069,45282,43226,0.95460,12,20,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393194,1215461
22,59417,44506,14911,44609,42775,0.95889,12,21,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393192,1215459
23,60319,45089,15230,45138,42937,0.95124,12,21,188,66,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1393194,1215461
24,60271,45351,14920,46566,43895,0.94264,7,16,176,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393193,1215460
25,59752,44878,14874,45729,42526,0.92996,13,23,184,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393194,1215461
26,59946,44964,14982,45678,41868,0.91659,13,25,196,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393192,1215459
27,59694,44741,14953,45130,41231,0.91361,13,24,192,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393191,1215458
28,60604,45652,14952,46267,42392,0.91625,13,23,42,296,0,61,13,0,0,0,0,0,0,0,0,0,0,0,0,1409726,1225673
29,60002,44972,15030,45567,39399,0.86464,6,15,26,448,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1435063,1237075
30,59768,44808,14960,44745,39361,0.87967,11,21,30,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435060,1237072
31,59987,45093,14894,44819,41029,0.91544,13,24,32,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435060,1237072
32,60239,45199,15040,44597,42028,0.94240,13,22,31,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435061,1237073
33,60004,45174,14830,45153,43393,0.96102,9,18,26,58,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1435063,1237075
34,59725,44696,15029,45182,43801,0.96943,11,19,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435061,1237073
35,60274,45393,14881,45655,44164,0.96734,12,20,36,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435058,1237070
36,59750,44840,14910,44821,42621,0.95092,13,22,184,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435060,1237072
37,59780,44650,15130,44339,41418,0.93412,13,23,200,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435058,1237070
38,60469,45380,15089,45977,42095,0.91557,7,15,180,40,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1435063,1237075
39,60007,45070,14937,45837,41528,0.90599,12,23,188,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435061,1237073
40,59644,44777,14867,45200,41095,0.90918,11,21,39,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435060,1237073
41,59758,44633,15125,44925,41143,0.91582,12,22,31,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435062,1237074
42,60410,45114,15296,45079,41657,0.92409,13,23,34,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435063,1237075
43,60096,45146,14950,46343,43368,0.93580,11,21,36,66,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1435060,1237072
44,59668,44901,14767,45918,43506,0.94747,13,22,36,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435063,1237075
45,60427,45173,15254,45923,43601,0.94944,13,22,36,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435063,1237075
46,59989,44681,15308,45054,42362,0.94025,12,22,168,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435063,1237075
47,59982,44914,15068,45177,41734,0.92379,10,20,172,102,0,44,13,0,0,0,0,0,0,0,0,0,0,0,0,1446832,1243021
48,59697,44778,14919,45570,39711,0.87143,4,9,160,2944,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,1490208,1260657
49,60316,45405,14911,45250,38919,0.86009,6,14,168,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490209,1260658
50,59574,44660,14914,44234,38694,0.87476,11,24,184,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490208,1260657
51,60155,45155,15000,44405,39101,0.88055,13,26,196,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490209,1260658
52,59821,44648,15173,44212,39605,0.89580,11,23,172,58,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1490207,1260656
53,60083,45122,14961,45607,41422,0.90824,12,23,36,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490209,1260658
54,60076,45244,14832,45400,41395,0.91178,12,24,192,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490208,1260657
55,60072,44994,15078,44822,41033,0.91547,11,21,184,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490209,1260658
56,60040,45075,14965,44608,41274,0.92526,6,16,148,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490209,1260658
57,60185,45173,15012,45380,42154,0.92891,10,20,31,57,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1490209,1260658
58,59487,44635,14852,45356,41821,0.92206,13,25,200,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490207,1260656
59,60282,45262,15020,45636,41532,0.91007,12,23,196,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490207,1260656
60,60229,45245,14984,45348,41005,0.90423,12,24,192,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490209,1260658
61,60008,44699,15309,44452,40195,0.90423,12,23,188,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490209,1260658
62,60001,44940,15061,45917,41476,0.90328,9,20,180,50,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1490209,1260658
63,59546,44692,14854,45809,41446,0.90476,12,24,184,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490206,1260655
64,59961,44892,15069,45735,41794,0.91383,7,17,33,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490208,1260657
65,60020,44990,15030,45514,41877,0.92009,12,23,32,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490205,1260655
66,60457,45380,15077,45651,42251,0.92552,13,24,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490209,1260658
67,60013,44981,15032,46223,42219,0.91338,4,9,22,3328,0,260,13,0,0,0,0,0,0,0,0,0,0,0,0,1558575,1282801
68,59797,44923,14874,44864,39530,0.88111,10,22,55,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558574,1282800
69,60148,45049,15099,44682,40808,0.91330,12,22,40,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558570,1282796
70,59910,45121,14789,44501,41324,0.92861,13,25,204,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558574,1282800
71,60142,45021,15121,44438,40950,0.92151,8,19,184,55,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1558575,1282801
72,59984,44997,14987,45574,41739,0.91585,7,16,180,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558573,1282799
73,60014,45175,14839,45419,41423,0.91202,10,21,180,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558575,1282801
74,59418,44613,14805,44582,40886,0.91710,13,24,176,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558574,1282800
75,60010,45062,14948,44753,41384,0.92472,13,23,39,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558573,1282799
76,59971,45106,14865,45086,42155,0.93499,9,18,30,51,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1558570,1282796
77,60344,45360,14984,46204,43693,0.94565,13,22,33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558574,1282800
78,59938,44950,14988,45606,43313,0.94972,12,21,35,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558574,1282800
79,60214,45156,15058,45580,43352,0.95112,13,21,36,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558572,1282798
80,60114,44973,15141,45072,43165,0.95769,12,20,31,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558575,1282801
81,59999,44807,15192,45441,43795,0.96378,7,15,22,45,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1558574,1282800
