t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59511,44558,14953,45096,40184,0.89108,14,24,31,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365382,1118347
2,60321,45256,15065,45552,41473,0.91045,13,23,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365385,1118350
3,60282,45239,15043,45244,41704,0.92176,10,19,27,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365382,1118347
4,60014,45069,14945,45425,41116,0.90514,9,18,25,49,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1365385,1118350
5,59649,44588,15061,45704,40670,0.88986,13,24,31,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365385,1118350
6,60074,45108,14966,46046,41268,0.89623,13,24,30,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365385,1118350
7,59951,44966,14985,45450,40439,0.88975,13,24,33,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365382,1118347
8,60033,44874,15159,45155,39657,0.87824,13,24,37,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365383,1118348
9,60286,45201,15085,46030,39490,0.85792,7,17,28,3136,0,106,13,0,0,0,0,0,0,0,0,0,0,0,0,1393545,1130514
10,60005,45098,14907,45175,37822,0.83723,8,19,28,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393545,1130514
11,59661,44716,14945,44552,38144,0.85617,11,22,31,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393543,1130512
12,59773,44734,15039,44328,38261,0.86313,7,17,30,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393543,1130513
13,60121,45033,15088,44300,38553,0.87027,12,22,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393541,1130510
14,60189,45085,15104,45471,38803,0.85336,11,22,31,62,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1393539,1130508
15,59879,45053,14826,45404,39418,0.86816,12,23,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393543,1130512
16,60368,45457,14911,45595,39828,0.87352,13,24,33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393542,1130512
17,59432,44553,14879,44315,39007,0.88022,13,24,41,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393545,1130514
18,60567,45625,14942,45329,40177,0.88634,12,21,32,55,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1393545,1130514
19,60004,44943,15061,45813,40225,0.87803,10,20,29,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393543,1130513
20,59406,44611,14795,45110,40973,0.90829,9,19,28,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393545,1130514
21,60599,45406,15193,45621,42189,0.92477,13,21,29,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393543,1130512
22,59432,44466,14966,44360,41540,0.93643,14,23,31,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393544,1130513
23,59971,45028,14943,45257,41904,0.92591,11,20,27,61,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1393541,1130510
24,60004,44844,15160,45998,42199,0.91741,13,22,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393542,1130511
25,60391,45291,15100,46135,42778,0.92724,12,21,35,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393543,1130512
26,59589,44683,14906,45295,42055,0.92847,11,20,32,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393541,1130510
27,60114,45167,14947,45342,41789,0.92164,13,23,31,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393542,1130511
28,60103,45217,14886,45993,41253,0.89694,10,20,29,3200,0,104,13,0,0,0,0,0,0,0,0,0,0,0,0,1421140,1139208
29,60391,45384,15007,45674,38776,0.84897,7,18,25,118,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1434707,1142320
30,59814,44853,14961,44651,38799,0.86894,12,23,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434705,1142318
31,60182,45162,15020,44625,39492,0.88497,13,24,33,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434707,1142320
32,59536,44592,14944,43821,39135,0.89306,8,15,26,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434706,1142319
33,60457,45242,15215,45263,39521,0.87314,10,19,30,62,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1434707,1142320
34,60013,44857,15156,45219,39378,0.87083,13,24,32,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434707,1142320
