t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59798,44818,14980,45404,40988,0.90274,13,24,31,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365041,1137817
2,59592,44677,14915,45018,41261,0.91654,13,22,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365045,1137822
3,60008,45067,14941,45096,41719,0.92512,13,22,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365048,1137824
4,60485,45363,15122,45462,41732,0.91795,11,19,27,53,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1365047,1137823
5,60113,44952,15161,46102,42013,0.91131,12,21,29,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365046,1137822
6,59483,44648,14835,45531,41256,0.90611,13,23,30,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365045,1137821
7,60522,45403,15119,45978,41158,0.89517,12,22,32,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365048,1137824
8,59995,44869,15126,45221,39818,0.88052,10,20,39,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365048,1137824
9,59807,44876,14931,45460,39961,0.87904,12,23,33,2752,0,75,13,0,0,0,0,0,0,0,0,0,0,0,0,1385151,1153611
10,60193,45193,15000,45488,40030,0.88001,7,16,24,88,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1393332,1155901
11,59924,44926,14998,44809,39356,0.87831,13,23,31,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393332,1155901
12,59706,44659,15047,44263,38711,0.87457,11,22,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393329,1155899
13,59767,44793,14974,44126,38674,0.87644,12,23,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393331,1155900
14,60007,44976,15031,44937,39470,0.87834,9,18,27,50,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1393332,1155901
15,60098,45210,14888,45651,40383,0.88460,12,22,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393327,1155896
