t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60193,45073,15120,45612,40372,0.88512,12,23,32,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371300,1112688
2,60063,45265,14798,45679,41085,0.89943,12,22,31,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371304,1112692
3,60274,45309,14965,45443,41661,0.91677,12,21,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371300,1112688
4,60025,45017,15008,45386,41708,0.91896,9,19,29,88,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1371302,1112691
5,60345,45249,15096,46488,42291,0.90972,9,18,27,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371302,1112690
6,60526,45242,15284,46192,42325,0.91628,12,22,31,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371304,1112692
7,60258,45179,15079,45969,42360,0.92149,12,22,31,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371303,1112691
8,60456,45287,15169,45784,42631,0.93113,11,21,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371300,1112688
9,60625,45476,15149,46309,41615,0.89864,5,17,24,3136,0,106,13,0,0,0,0,0,0,0,0,0,0,0,0,1399527,1124876
10,60600,45689,14911,45712,39868,0.87216,10,20,30,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399527,1124876
11,60320,45268,15052,45021,39553,0.87855,9,19,28,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399526,1124875
12,60015,44987,15028,44482,39077,0.87849,9,16,23,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399526,1124875
13,60599,45715,14884,44969,39651,0.88174,7,16,39,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399527,1124876
14,60138,44977,15161,45513,39512,0.86815,6,13,31,80,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1399527,1124876
15,59997,44811,15186,45171,40276,0.89163,11,21,33,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399521,1124870
16,60036,44972,15064,44997,41054,0.91237,8,18,28,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399525,1124874
17,60011,45019,14992,44757,41486,0.92692,11,20,29,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399525,1124874
18,60604,45426,15178,45211,42129,0.93183,11,20,29,86,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1399527,1124876
19,60604,45528,15076,46470,42657,0.91795,9,19,28,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399527,1124876
20,60038,44927,15111,45521,42436,0.93223,11,21,30,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399526,1124875
21,60460,45415,15045,45794,42744,0.93340,11,21,30,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399527,1124876
22,60012,44887,15125,44947,41165,0.91586,11,21,29,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399523,1124873
23,60026,45175,14851,45616,40466,0.88710,9,17,25,68,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1399523,1124872
24,60080,45077,15003,46264,40282,0.87070,12,23,32,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399526,1124876
25,60102,44977,15125,45945,40332,0.87783,9,18,25,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399523,1124873
26,60317,45160,15157,45902,40737,0.88748,9,18,28,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399525,1124874
27,60533,45442,15091,45921,41185,0.89687,12,23,40,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399526,1124875
28,60468,45360,15108,46286,41523,0.89710,6,15,29,3328,0,159,13,0,0,0,0,0,0,0,0,0,0,0,0,1441472,1139112
29,60132,45020,15112,45152,38756,0.85835,7,17,27,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441472,1139112
30,60037,45005,15032,44917,39739,0.88472,10,20,30,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441470,1139111
31,60529,45398,15131,45076,40721,0.90339,9,16,22,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441471,1139111
32,60063,45003,15060,44375,40827,0.92005,9,19,28,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441472,1139112
33,60615,45303,15312,45644,41282,0.90443,9,19,29,78,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1441472,1139112
