t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59995,44959,15036,45338,41010,0.90454,6,11,160,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366175,1153683
2,60323,45345,14978,45502,40502,0.89011,9,19,180,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366180,1153688
3,60111,45162,14949,44965,39806,0.88527,11,22,184,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366181,1153689
4,60306,45163,15143,45607,40701,0.89243,6,16,160,62,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1366181,1153689
5,59999,44927,15072,46088,41387,0.89800,6,11,148,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366177,1153685
6,60309,45170,15139,46033,41934,0.91096,9,17,37,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366181,1153689
7,60262,45211,15051,45776,42215,0.92221,11,21,31,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366181,1153689
8,60046,45124,14922,45431,42625,0.93824,4,6,14,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366181,1153689
9,60068,45249,14819,45978,43390,0.94371,4,9,16,3136,0,106,13,0,0,0,0,0,0,0,0,0,0,0,0,1394295,1171578
10,60006,44972,15034,45069,42182,0.93594,6,10,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394294,1171577
11,60016,44799,15217,44496,40296,0.90561,6,13,164,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394295,1171578
12,60116,45102,15014,44598,38962,0.87363,4,9,160,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394295,1171578
13,60016,44942,15074,44189,37539,0.84951,6,11,164,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394295,1171578
