t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60368,45213,15155,45655,42007,0.92010,10,19,180,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368823,1234060
2,60510,45498,15012,45680,41557,0.90974,10,20,184,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368822,1234059
3,59996,45088,14908,44878,40679,0.90644,12,23,192,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368823,1234060
4,60511,45353,15158,45533,41330,0.90769,11,22,184,50,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1368820,1234057
5,60031,44923,15108,46073,41947,0.91045,12,23,156,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368822,1234059
6,60448,45365,15083,46259,42555,0.91993,13,24,31,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368823,1234060
7,60593,45379,15214,45977,42728,0.92933,12,21,28,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368823,1234060
8,60615,45589,15026,45837,43398,0.94679,13,22,29,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368823,1234060
9,60264,45370,14894,46199,44453,0.96221,6,19,27,2880,0,106,13,0,0,0,0,0,0,0,0,0,0,0,0,1397036,1262273
10,60607,45422,15185,45492,43747,0.96164,10,18,27,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397035,1262272
11,60404,45092,15312,44862,42100,0.93843,12,23,204,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397033,1262270
12,60043,45119,14924,44622,40382,0.90498,11,21,192,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397033,1262270
13,60169,44999,15170,44266,38717,0.87464,13,25,200,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397033,1262271
14,60615,45523,15092,45935,39297,0.85549,7,18,168,49,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1397036,1262273
15,60602,45701,14901,46067,39220,0.85137,8,20,176,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397036,1262273
16,60010,44955,15055,45092,38567,0.85530,10,21,184,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397031,1262270
17,60243,45217,15026,45120,39180,0.86835,13,25,192,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397036,1262273
