t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60133,44999,15134,45445,41830,0.92045,11,22,196,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366560,1226552
2,60090,45216,14874,45413,41327,0.91003,11,22,192,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366565,1226557
3,60306,45343,14963,45166,40929,0.90619,11,21,188,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366565,1226557
4,60194,45113,15081,45221,41050,0.90776,9,19,180,43,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1366565,1226557
5,60298,45094,15204,46268,42104,0.91000,9,18,180,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366563,1226555
6,60033,45065,14968,45982,42278,0.91945,12,22,172,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366563,1226555
7,60137,45055,15082,45654,42360,0.92785,11,20,31,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366563,1226555
8,60320,45353,14967,45653,43191,0.94607,12,20,27,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366565,1226557
9,59990,45164,14826,45945,43527,0.94737,6,14,20,3136,0,106,13,0,0,0,0,0,0,0,0,0,0,0,0,1394743,1246216
10,60310,45169,15141,45250,40961,0.90522,9,18,34,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394745,1246218
11,60141,44977,15164,44782,40743,0.90981,9,23,192,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394744,1246217
12,60304,45272,15032,44785,40123,0.89590,8,20,180,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394745,1246218
13,60301,45124,15177,44426,38876,0.87507,9,23,188,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394745,1246218
14,60016,44980,15036,45301,38947,0.85974,5,13,172,27,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1394743,1246217
15,60013,45293,14720,45687,39208,0.85819,6,14,180,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394745,1246218
16,60298,45193,15105,45288,38893,0.85879,9,19,184,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394745,1246218
17,60306,45351,14955,45244,39343,0.86957,11,23,188,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394745,1246218
18,60298,45268,15030,45012,39617,0.88014,10,21,164,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394745,1246218
19,60305,45363,14942,46248,41656,0.90071,10,20,31,50,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1394745,1246218
20,60100,45118,14982,45832,42114,0.91888,10,20,29,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394745,1246218
21,60303,45322,14981,45725,42946,0.93922,12,21,29,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394745,1246218
22,60026,45041,14985,45202,42965,0.95051,12,20,31,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394743,1246216
23,60018,44994,15024,45388,43360,0.95532,11,20,42,51,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1394741,1246214
24,60018,45136,14882,46217,44059,0.95331,9,17,168,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394741,1246214
25,60150,45046,15104,45944,43731,0.95183,12,20,176,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394745,1246218
