t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60034,44965,15069,45396,40942,0.90189,13,23,35,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370584,1157655
2,60069,45131,14938,45320,40349,0.89031,13,23,39,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370589,1157658
3,60235,45281,14954,45048,39950,0.88683,12,23,188,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370588,1157657
4,60022,44963,15059,45318,40426,0.89205,9,20,176,53,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1370590,1157659
5,60617,45361,15256,46507,41800,0.89879,8,20,156,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370590,1157659
6,60023,45048,14975,45856,41819,0.91196,13,23,34,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370588,1157657
7,60269,45150,15119,45732,42258,0.92404,11,21,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370588,1157657
8,60403,45415,14988,45628,42820,0.93846,13,22,31,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370589,1157658
9,60156,45296,14860,46036,43440,0.94361,5,17,24,3136,0,106,13,0,0,0,0,0,0,0,0,0,0,0,0,1398721,1175566
10,60140,45034,15106,45069,42068,0.93341,11,20,32,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398719,1175564
11,60413,45097,15316,44804,40416,0.90206,7,19,176,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398714,1175561
12,60017,45105,14912,44602,38762,0.86906,6,11,172,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398719,1175565
13,60579,45287,15292,44500,37769,0.84874,6,12,148,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398721,1175566
14,60122,45162,14960,45669,38408,0.84101,7,16,27,46,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1398721,1175566
15,60405,45547,14858,45856,38723,0.84445,13,25,35,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398719,1175564
