t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,40011,36007,4004,36514,32000,0.87638,3,10,16,30,0,0,0,0,0,0,0,0,0
2,40017,36016,4001,36386,34087,0.93682,3,8,15,36,0,0,0,0,0,0,0,0,0
3,40013,36011,4002,36168,33408,0.92369,6,12,20,28,0,0,0,0,0,0,0,0,0
4,40000,36001,3999,35995,32002,0.88907,3,8,15,35,0,0,0,0,0,0,0,0,0
5,40157,36141,4016,36108,33027,0.91467,3,9,15,28,0,0,0,0,0,0,0,0,0
6,40161,36146,4015,36000,31661,0.87947,4,12,18,54,0,0,0,0,0,0,0,0,0
7,40146,36130,4016,36016,32117,0.89174,4,12,20,49,0,0,0,0,0,0,0,0,0
8,40011,36010,4001,35781,31307,0.87496,4,13,20,56,0,0,0,0,0,0,0,0,0
9,40010,36009,4001,35809,30723,0.85797,4,13,20,46,0,0,0,0,0,0,0,0,0
10,40204,36184,4020,35799,30818,0.86086,5,13,20,44,0,0,0,0,0,0,0,0,0
11,40130,36117,4013,35846,29716,0.82899,4,13,20,50,0,0,0,0,0,0,0,0,0
12,40011,36009,4002,35507,29125,0.82026,3,11,20,40,0,0,0,0,0,0,0,0,0
13,40015,36014,4001,35462,30444,0.85850,3,10,18,38,0,0,0,0,0,0,0,0,0
14,40198,36178,4020,36418,30973,0.85049,5,12,18,56,0,0,6,0,0,0,0,0,0
15,40177,36159,4018,37002,30523,0.82490,5,12,18,34,0,0,0,0,0,0,0,0,0
16,40199,36180,4019,37067,30901,0.83365,6,13,21,37,0,0,0,0,0,0,0,0,0
17,40015,36013,4002,36796,30800,0.83705,5,12,18,31,0,0,0,0,0,0,0,0,0
18,40038,36034,4004,36656,31277,0.85326,5,12,19,35,0,0,0,0,0,0,0,0,0
19,40007,36007,4000,36629,30506,0.83284,6,13,24,45,0,0,0,0,0,0,0,0,0
20,40006,36005,4001,36747,29131,0.79274,6,15,21,31,0,0,0,0,0,0,0,0,0
21,40009,36008,4001,36667,31149,0.84951,6,13,23,32,0,0,0,0,0,0,0,0,0
22,40030,36027,4003,36594,31570,0.86271,5,12,20,35,0,0,0,0,0,0,0,0,0
23,39996,35996,4000,36548,29669,0.81178,6,13,20,34,0,0,0,0,0,0,0,0,0
24,40042,36038,4004,36517,28011,0.76707,4,10,16,29,0,0,0,0,0,0,0,0,0
25,40199,36179,4020,36596,27220,0.74380,7,15,24,38,0,0,0,0,0,0,0,0,0
26,40011,36010,4001,36294,27337,0.75321,9,17,22,29,0,0,0,0,0,0,0,0,0
27,40013,36012,4001,36191,28148,0.77776,8,16,23,56,0,0,0,0,0,0,0,0,0
28,40024,36022,4002,36492,29526,0.80911,8,16,23,53,0,1,6,0,0,0,0,0,0
29,40005,36004,4001,42298,33597,0.79429,5,11,19,108,0,23,0,0,0,0,0,0,0
30,40001,36001,4000,36032,30181,0.83762,6,13,18,35,0,0,0,0,0,0,0,0,0
31,40202,36182,4020,36061,30594,0.84840,4,10,16,22,0,0,0,0,0,0,0,0,0
32,40135,36121,4014,36034,30740,0.85308,6,13,19,29,0,0,0,0,0,0,0,0,0
33,40197,36179,4018,35980,31607,0.87846,7,13,20,34,0,0,0,0,0,0,0,0,0
34,40012,36009,4003,35611,30858,0.86653,7,15,19,29,0,0,0,0,0,0,0,0,0
35,40170,36153,4017,35747,31151,0.87143,7,14,20,34,0,0,0,0,0,0,0,0,0
36,40203,36183,4020,35641,30573,0.85780,5,10,17,28,0,0,0,0,0,0,0,0,0
37,40153,36138,4015,35416,31266,0.88282,6,11,22,37,0,0,0,0,0,0,0,0,0
38,40003,36004,3999,35167,30922,0.87929,5,11,19,48,0,0,0,0,0,0,0,0,0
