t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,40195,36176,4019,36689,32192,0.87743,3,11,15,32,0,0,0,0,0,0,0,0,0
2,40007,36005,4002,36405,34162,0.93839,2,11,14,22,0,0,0,0,0,0,0,0,0
3,40020,36020,4000,36192,33399,0.92283,3,11,14,25,0,0,0,0,0,0,0,0,0
4,40000,36000,4000,35980,32056,0.89094,3,12,16,32,0,0,0,0,0,0,0,0,0
5,40013,36010,4003,35895,32728,0.91177,3,11,14,21,0,0,0,0,0,0,0,0,0
6,40008,36007,4001,35929,31660,0.88118,3,11,15,23,0,0,0,0,0,0,0,0,0
7,40010,36010,4000,35842,31919,0.89055,3,11,15,21,0,0,0,0,0,0,0,0,0
8,40009,36007,4002,35809,31260,0.87296,3,11,15,21,0,0,0,0,0,0,0,0,0
9,40015,36014,4001,35734,30745,0.86039,3,11,15,22,0,0,0,0,0,0,0,0,0
10,40197,36178,4019,35863,30897,0.86153,3,11,16,26,0,0,0,0,0,0,0,0,0
11,40117,36105,4012,35793,29619,0.82751,3,11,16,26,0,0,0,0,0,0,0,0,0
12,40040,36036,4004,35552,29115,0.81894,4,12,18,42,0,0,0,0,0,0,0,0,0
13,40008,36007,4001,35495,30540,0.86040,3,12,16,37,0,0,0,0,0,0,0,0,0
14,40146,36131,4015,36627,30832,0.84178,3,11,15,33,0,0,6,0,0,0,0,0,0
15,39994,35995,3999,36881,30604,0.82980,3,12,17,31,0,0,0,0,0,0,0,0,0
16,40135,36122,4013,36932,30902,0.83673,3,12,17,30,0,0,0,0,0,0,0,0,0
17,40000,36000,4000,36731,30610,0.83336,3,12,15,23,0,0,0,0,0,0,0,0,0
18,40012,36010,4002,36573,31228,0.85385,3,12,17,35,0,0,0,0,0,0,0,0,0
19,39993,35994,3999,36548,30379,0.83121,3,12,17,34,0,0,0,0,0,0,0,0,0
20,40007,36007,4000,36664,29112,0.79402,3,12,17,26,0,0,0,0,0,0,0,0,0
21,40008,36006,4002,36638,31156,0.85037,3,12,17,30,0,0,0,0,0,0,0,0,0
22,40013,36012,4001,36541,31516,0.86248,3,12,16,25,0,0,0,0,0,0,0,0,0
23,40013,36012,4001,36490,29844,0.81787,3,12,17,29,0,0,0,0,0,0,0,0,0
24,40026,36023,4003,36426,27788,0.76286,3,12,17,26,0,0,0,0,0,0,0,0,0
25,40150,36135,4015,36467,27162,0.74484,4,13,18,33,0,0,0,0,0,0,0,0,0
26,40120,36108,4012,36409,27391,0.75231,4,13,19,34,0,0,0,0,0,0,0,0,0
27,40016,36015,4001,36149,28121,0.77792,3,12,18,34,0,0,0,0,0,0,0,0,0
28,40002,36002,4000,42650,30496,0.71503,3,12,18,2496,0,24,6,0,0,0,0,0,0
29,40002,36001,4001,36126,30952,0.85678,3,11,16,33,0,0,0,0,0,0,0,0,0
30,40015,36014,4001,36037,30953,0.85892,3,11,16,34,0,0,0,0,0,0,0,0,0
31,40000,36000,4000,35955,30720,0.85440,3,11,16,30,0,0,0,0,0,0,0,0,0
32,40008,36008,4000,35915,30725,0.85549,3,11,16,34,0,0,0,0,0,0,0,0,0
33,40005,36004,4001,35799,31470,0.87907,3,11,16,33,0,0,0,0,0,0,0,0,0
34,40005,36005,4000,35583,30701,0.86280,3,11,15,24,0,0,0,0,0,0,0,0,0
35,40002,36001,4001,35549,31103,0.87493,3,11,16,32,0,0,0,0,0,0,0,0,0
36,40194,36175,4019,35629,30554,0.85756,3,11,17,35,0,0,0,0,0,0,0,0,0
37,40042,36037,4005,35283,31134,0.88241,3,11,15,25,0,0,0,0,0,0,0,0,0
38,40198,36178,4020,35293,31186,0.88363,3,11,16,33,0,0,0,0,0,0,0,0,0
39,40010,36009,4001,35173,29173,0.82941,3,11,15,24,0,0,0,0,0,0,0,0,0
40,40000,36000,4000,35249,27842,0.78987,3,12,17,34,0,0,0,0,0,0,0,0,0
41,40008,36007,4001,35423,27690,0.78170,3,12,16,24,0,0,0,0,0,0,0,0,0
42,40012,36011,4001,35489,27873,0.78540,3,11,17,59,0,0,6,0,0,0,0,0,0
43,40164,36148,4016,36683,28759,0.78399,3,11,16,26,0,0,0,0,0,0,0,0,0
44,40181,36163,4018,36625,27805,0.75918,3,12,16,26,0,0,0,0,0,0,0,0,0
45,40013,36012,4001,36361,30841,0.84819,3,11,15,27,0,0,0,0,0,0,0,0,0
46,40199,36179,4020,36546,31221,0.85429,3,11,15,26,0,0,0,0,0,0,0,0,0
47,40002,36001,4001,36359,29442,0.80976,3,12,16,24,0,0,0,0,0,0,0,0,0
48,40003,36003,4000,36329,29053,0.79972,3,12,17,31,0,0,0,0,0,0,0,0,0
49,40210,36189,4021,36554,29158,0.79767,3,12,16,23,0,0,0,0,0,0,0,0,0
50,40049,36044,4005,36295,28777,0.79286,3,12,16,22,0,0,0,0,0,0,0,0,0
51,40169,36152,4017,36322,29890,0.82292,3,12,16,26,0,0,0,0,0,0,0,0,0
52,40005,36004,4001,36130,30030,0.83117,3,11,16,26,0,0,0,0,0,0,0,0,0
53,40010,36010,4000,36074,31479,0.87262,3,12,18,38,0,0,0,0,0,0,0,0,0
54,40003,36002,4001,35859,32239,0.89905,3,11,16,31,0,0,0,0,0,0,0,0,0
55,40039,36036,4003,35837,31425,0.87689,3,12,16,31,0,0,0,0,0,0,0,0,0
56,40052,36046,4006,35801,32190,0.89914,3,12,16,29,0,0,0,0,0,0,0,0,0
57,40021,36020,4001,36753,32414,0.88194,3,11,16,41,0,0,6,0,0,0,0,0,0
58,40126,36113,4013,36863,32134,0.87171,3,11,16,29,0,0,0,0,0,0,0,0,0
59,40047,36042,4005,36748,31064,0.84532,3,12,16,28,0,0,0,0,0,0,0,0,0
60,39997,35997,4000,36649,28965,0.79034,3,11,16,27,0,0,0,0,0,0,0,0,0
61,40143,36129,4014,36718,30878,0.84095,3,8,15,26,0,0,0,0,0,0,0,0,0
62,40050,36045,4005,36584,29373,0.80289,4,8,16,33,0,0,0,0,0,0,0,0,0
63,40042,36038,4004,36680,28555,0.77849,5,13,26,110,0,0,0,0,0,0,0,0,0
64,40001,36001,4000,36638,27980,0.76369,4,13,23,90,0,0,0,0,0,0,0,0,0
65,40083,36074,4009,36695,28440,0.77504,4,8,17,88,0,0,0,0,0,0,0,0,0
66,40189,36171,4018,36695,28929,0.78836,4,9,16,30,0,0,0,0,0,0,0,0,0
67,40093,36083,4010,36496,29979,0.82143,4,9,16,28,0,0,0,0,0,0,0,0,0
68,40011,36010,4001,36374,29929,0.82281,4,8,14,29,0,0,0,0,0,0,0,0,0
69,40011,36010,4001,36175,31092,0.85949,5,9,16,24,0,0,0,0,0,0,0,0,0
70,40004,36004,4000,36205,30873,0.85273,5,9,16,23,0,0,0,0,0,0,0,0,0
71,40013,36011,4002,36951,29593,0.80087,5,9,16,52,0,0,6,0,0,0,0,0,0
72,40107,36098,4009,37220,29082,0.78135,5,9,16,28,0,0,0,0,0,0,0,0,0
73,40013,36011,4002,37111,28962,0.78042,5,10,17,24,0,0,0,0,0,0,0,0,0
74,40008,36007,4001,36996,29909,0.80844,5,9,18,27,0,0,0,0,0,0,0,0,0
75,40005,36004,4001,36998,31221,0.84386,4,10,17,33,0,0,0,0,0,0,0,0,0
76,40002,36002,4000,36841,30826,0.83673,4,8,16,25,0,0,0,0,0,0,0,0,0
77,40013,36013,4000,36794,32128,0.87319,5,9,16,26,0,0,0,0,0,0,0,0,0
78,40011,36009,4002,36752,31428,0.85514,5,9,17,23,0,0,0,0,0,0,0,0,0
79,40028,36024,4004,36800,31709,0.86166,5,9,16,29,0,0,0,0,0,0,0,0,0
80,40009,36009,4000,36796,30245,0.82196,5,10,17,26,0,0,0,0,0,0,0,0,0
81,40010,36010,4000,36582,30235,0.82650,5,10,18,22,0,0,0,0,0,0,0,0,0
82,40015,36012,4003,36451,31104,0.85331,5,10,18,26,0,0,0,0,0,0,0,0,0
83,40001,36001,4000,36251,31708,0.87468,5,9,15,25,0,0,0,0,0,0,0,0,0
84,40023,36021,4002,36287,29523,0.81360,5,10,16,27,0,0,0,0,0,0,0,0,0
85,40002,36002,4000,49194,36935,0.75080,5,10,17,2944,0,47,6,0,0,0,0,0,0
86,40020,36018,4002,36152,31748,0.87818,4,8,14,20,0,0,0,0,0,0,0,0,0
87,40006,36004,4002,35835,31472,0.87825,4,9,16,25,0,0,0,0,0,0,0,0,0
88,40068,36063,4005,35763,29405,0.82222,4,10,18,29,0,0,0,0,0,0,0,0,0
89,39997,35997,4000,35641,30088,0.84420,5,10,19,25,0,0,0,0,0,0,0,0,0
90,40008,36007,4001,35729,30478,0.85303,5,11,20,27,0,0,0,0,0,0,0,0,0
91,40008,36006,4002,35610,29597,0.83114,5,11,20,38,0,0,0,0,0,0,0,0,0
92,40013,36013,4000,35597,29674,0.83361,4,8,15,20,0,0,0,0,0,0,0,0,0
93,40011,36010,4001,35601,32323,0.90792,4,8,15,22,0,0,0,0,0,0,0,0,0
94,40014,36012,4002,35557,31369,0.88222,5,9,16,25,0,0,0,0,0,0,0,0,0
95,40137,36124,4013,35731,29843,0.83521,5,9,16,27,0,0,0,0,0,0,0,0,0
96,40004,36003,4001,35676,29632,0.83059,5,9,16,26,0,0,0,0,0,0,0,0,0
97,40101,36091,4010,35579,31183,0.87644,5,9,16,31,0,0,0,0,0,0,0,0,0
98,40014,36013,4001,35433,31556,0.89058,5,9,16,21,0,0,0,0,0,0,0,0,0
99,40000,36000,4000,35297,32553,0.92226,4,9,15,27,0,0,0,0,0,0,0,0,0
100,40018,36015,4003,36089,30996,0.85888,4,8,14,28,0,0,6,0,0,0,0,0,0
101,40014,36013,4001,36368,32544,0.89485,4,8,14,24,0,0,0,0,0,0,0,0,0
102,40193,36174,4019,36317,31765,0.87466,5,9,15,29,0,0,0,0,0,0,0,0,0
103,40051,36046,4005,36277,30683,0.84580,4,9,15,28,0,0,0,0,0,0,0,0,0
104,40010,36009,4001,36195,31020,0.85702,5,9,17,20,0,0,0,0,0,0,0,0,0
105,40001,36001,4000,36102,31640,0.87641,4,8,15,23,0,0,0,0,0,0,0,0,0
106,40023,36021,4002,36087,29836,0.82678,5,10,17,26,0,0,0,0,0,0,0,0,0
107,40030,36027,4003,36132,28712,0.79464,4,9,16,27,0,0,0,0,0,0,0,0,0
108,40011,36010,4001,36249,26899,0.74206,5,9,17,26,0,0,0,0,0,0,0,0,0
109,40086,36076,4010,36249,28374,0.78275,4,9,17,29,0,0,0,0,0,0,0,0,0
110,40023,36021,4002,36120,29469,0.81586,4,8,15,24,0,0,0,0,0,0,0,0,0
111,40010,36010,4000,36020,29224,0.81133,4,8,14,30,0,0,0,0,0,0,0,0,0
112,40123,36110,4013,36152,28193,0.77985,5,10,18,25,0,0,0,0,0,0,0,0,0
113,40006,36006,4000,35907,28297,0.78806,4,8,15,18,0,0,0,0,0,0,0,0,0
114,40012,36012,4000,36524,29090,0.79646,4,9,16,43,0,0,6,0,0,0,0,0,0
115,40013,36010,4003,36889,29160,0.79048,4,8,14,26,0,0,0,0,0,0,0,0,0
116,40002,36002,4000,36753,28743,0.78206,5,9,17,28,0,0,0,0,0,0,0,0,0
117,40093,36084,4009,36807,31289,0.85008,4,10,16,36,0,0,0,0,0,0,0,0,0
118,40002,36001,4001,36516,30241,0.82816,4,8,15,18,0,0,0,0,0,0,0,0,0
119,40017,36016,4001,36544,27383,0.74932,4,8,15,17,0,0,0,0,0,0,0,0,0
120,40170,36153,4017,36864,27085,0.73473,4,9,17,32,0,0,0,0,0,0,0,0,0
121,40032,36029,4003,36620,26207,0.71565,4,9,15,22,0,0,0,0,0,0,0,0,0
122,40071,36064,4007,36607,25648,0.70063,4,12,18,45,0,0,0,0,0,0,0,0,0
123,40205,36184,4021,36629,28065,0.76620,4,10,16,31,0,0,0,0,0,0,0,0,0
124,40017,36017,4000,36421,29955,0.82247,5,9,17,23,0,0,0,0,0,0,0,0,0
125,40004,36002,4002,36213,30904,0.85340,5,9,17,21,0,0,0,0,0,0,0,0,0
126,40017,36015,4002,36170,31507,0.87108,4,8,15,23,0,0,0,0,0,0,0,0,0
127,40009,36008,4001,36280,30573,0.84270,4,8,15,24,0,0,0,0,0,0,0,0,0
128,40005,36005,4000,36686,30795,0.83942,4,8,15,63,0,0,6,0,0,0,0,0,0
129,40010,36009,4001,37144,31692,0.85322,4,7,13,15,0,0,0,0,0,0,0,0,0
130,40000,36000,4000,36984,30841,0.83390,4,8,16,32,0,0,0,0,0,0,0,0,0
131,40006,36005,4001,36889,30995,0.84022,4,8,14,25,0,0,0,0,0,0,0,0,0
132,40007,36005,4002,36881,30151,0.81752,4,8,14,21,0,0,0,0,0,0,0,0,0
133,40180,36164,4016,36892,30420,0.82457,4,8,15,15,0,0,0,0,0,0,0,0,0
134,40004,36004,4000,36729,30246,0.82349,4,8,15,25,0,0,0,0,0,0,0,0,0
135,40096,36086,4010,36898,29738,0.80595,4,9,17,28,0,0,0,0,0,0,0,0,0
136,40007,36006,4001,36694,29524,0.80460,4,8,15,19,0,0,0,0,0,0,0,0,0
137,40013,36012,4001,36710,28742,0.78295,4,10,16,25,0,0,0,0,0,0,0,0,0
138,40013,36011,4002,36622,28580,0.78041,4,8,15,20,0,0,0,0,0,0,0,0,0
139,40003,36003,4000,36438,30190,0.82853,5,10,19,25,0,0,0,0,0,0,0,0,0
140,40036,36032,4004,36539,29954,0.81978,5,10,17,29,0,0,0,0,0,0,0,0,0
141,40046,36042,4004,36099,30981,0.85822,5,10,18,25,0,0,0,0,0,0,0,0,0
142,40189,36170,4019,55300,34950,0.63201,4,9,18,3328,0,68,6,0,0,0,0,0,0
143,40014,36012,4002,36134,26410,0.73089,3,7,13,18,0,0,0,0,0,0,0,0,0
144,40144,36130,4014,36212,27051,0.74702,4,8,15,34,0,0,0,0,0,0,0,0,0
145,40008,36007,4001,36001,27985,0.77734,4,7,13,15,0,0,0,0,0,0,0,0,0
146,40197,36178,4019,36105,27788,0.76964,4,8,15,24,0,0,0,0,0,0,0,0,0
147,40105,36094,4011,35984,27778,0.77195,3,8,14,24,0,0,0,0,0,0,0,0,0
148,40056,36050,4006,35882,27492,0.76618,4,9,15,25,0,0,0,0,0,0,0,0,0
149,40152,36137,4015,35892,29068,0.80987,4,9,16,28,0,0,0,0,0,0,0,0,0
150,39995,35996,3999,35585,31150,0.87537,4,8,15,22,0,0,0,0,0,0,0,0,0
151,40009,36008,4001,35457,30621,0.86361,4,8,16,24,0,0,0,0,0,0,0,0,0
152,40008,36007,4001,35281,29161,0.82654,5,9,17,29,0,0,0,0,0,0,0,0,0
153,40008,36007,4001,35377,29125,0.82328,5,8,17,24,0,0,0,0,0,0,0,0,0
154,40008,36008,4000,35385,29075,0.82168,5,9,17,20,0,0,0,0,0,0,0,0,0
155,40019,36017,4002,35235,29430,0.83525,5,9,18,23,0,0,0,0,0,0,0,0,0
156,39997,35997,4000,35549,29946,0.84239,5,11,20,62,0,0,6,0,0,0,0,0,0
157,40021,36019,4002,36532,32215,0.88183,4,9,15,20,0,0,0,0,0,0,0,0,0
158,40004,36004,4000,36269,33171,0.91458,4,9,15,17,0,0,0,0,0,0,0,0,0
159,40167,36150,4017,36360,32572,0.89582,5,10,20,66,0,0,0,0,0,0,0,0,0
160,40003,36002,4001,36144,29630,0.81978,5,10,21,30,0,0,0,0,0,0,0,0,0
161,40057,36053,4004,36188,31087,0.85904,6,12,24,43,0,0,0,0,0,0,0,0,0
162,40007,36005,4002,36086,31840,0.88234,6,13,26,80,0,0,0,0,0,0,0,0,0
163,40006,36005,4001,35971,31805,0.88418,6,12,25,50,0,0,0,0,0,0,0,0,0
164,40005,36006,3999,35965,29882,0.83086,6,11,23,28,0,0,0,0,0,0,0,0,0
165,40027,36023,4004,35994,31061,0.86295,6,12,23,45,0,0,0,0,0,0,0,0,0
166,40015,36014,4001,36004,29693,0.82471,6,12,24,40,0,0,0,0,0,0,0,0,0
167,40008,36007,4001,36019,28127,0.78089,6,12,24,35,0,0,0,0,0,0,0,0,0
168,40012,36011,4001,35952,30228,0.84079,6,12,23,34,0,0,0,0,0,0,0,0,0
169,40010,36009,4001,35756,31172,0.87180,6,12,24,57,0,0,0,0,0,0,0,0,0
170,40031,36028,4003,35457,30645,0.86429,6,12,23,38,0,0,0,0,0,0,0,0,0
171,40011,36009,4002,36430,30479,0.83665,6,12,24,72,0,0,6,0,0,0,0,0,0
172,40000,35999,4001,36688,29688,0.80920,6,12,24,32,0,0,0,0,0,0,0,0,0
173,40211,36191,4020,36839,31260,0.84856,6,13,26,59,0,0,0,0,0,0,0,0,0
174,40055,36050,4005,36560,31314,0.85651,7,14,25,38,0,0,0,0,0,0,0,0,0
175,40007,36006,4001,36377,32162,0.88413,6,13,23,37,0,0,0,0,0,0,0,0,0
176,40002,36002,4000,36432,30891,0.84791,6,13,24,45,0,0,0,0,0,0,0,0,0
177,40008,36007,4001,36331,32406,0.89197,6,12,23,47,0,0,0,0,0,0,0,0,0
178,40005,36005,4000,36187,34268,0.94697,4,8,15,38,0,0,0,0,0,0,0,0,0
