t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40201,36181,4020,36631,32094,0.87614,11,24,29,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072121,906713
2,40214,36191,4023,36583,34344,0.93880,11,22,29,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072131,906723
3,40205,36187,4018,36280,33385,0.92020,10,22,28,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072130,906722
4,40003,36004,3999,36040,32137,0.89170,10,21,27,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072128,906720
5,40147,36130,4017,36108,32993,0.91373,11,22,28,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072129,906721
6,40008,36006,4002,35947,31649,0.88044,12,25,30,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072126,906718
7,40017,36016,4001,35821,31899,0.89051,12,23,29,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072126,906718
8,40009,36008,4001,35764,31208,0.87261,11,23,29,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072129,906721
9,40015,36014,4001,35676,30645,0.85898,12,26,32,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072130,906722
10,40036,36032,4004,35682,30783,0.86270,12,26,33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072130,906722
11,40005,36005,4000,35703,29480,0.82570,13,26,32,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072127,906719
12,40043,36039,4004,35622,29280,0.82196,11,24,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072131,906723
13,40014,36012,4002,35585,30535,0.85809,12,26,34,140,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1072131,906723
14,40013,36015,3998,36923,31461,0.85207,11,25,32,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072130,906722
15,40053,36045,4008,36925,30496,0.82589,13,26,30,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072131,906723
16,40024,36021,4003,36715,30617,0.83391,13,26,31,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072128,906720
17,40167,36150,4017,36863,30850,0.83688,13,26,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072131,906723
18,40036,36034,4002,36601,31282,0.85468,12,25,31,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072131,906723
19,40200,36179,4021,36723,30462,0.82951,11,25,31,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072128,906720
20,40203,36183,4020,36764,29206,0.79442,9,21,28,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072131,906723
21,40010,36009,4001,36555,31148,0.85209,12,25,33,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072127,906719
22,40016,36014,4002,36570,31476,0.86071,13,26,34,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072131,906723
23,40013,36012,4001,36553,29778,0.81465,13,27,34,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072129,906721
24,40015,36014,4001,36440,27809,0.76314,14,28,36,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072128,906720
25,40008,36008,4000,36387,27126,0.74549,15,29,37,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072129,906721
