t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40048,36043,4005,36504,31941,0.87500,5,11,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072087,905709
2,40133,36120,4013,36421,34091,0.93603,5,10,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072091,905714
3,40108,36097,4011,36258,33484,0.92349,5,10,22,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072093,905715
4,40015,36014,4001,35989,32021,0.88974,5,11,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072093,905715
5,39999,35999,4000,35890,32718,0.91162,6,10,21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072090,905712
6,40014,36012,4002,35829,31633,0.88289,6,11,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072092,905714
7,40008,36008,4000,35864,31944,0.89070,6,11,22,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072092,905714
8,40013,36012,4001,35847,31376,0.87528,6,11,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072093,905715
9,40026,36023,4003,35704,30623,0.85769,6,11,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072093,905715
10,39995,35994,4001,35663,30736,0.86185,6,11,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072087,905709
11,40015,36015,4000,35636,29537,0.82885,7,12,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072092,905714
12,40011,36009,4002,35548,29126,0.81934,6,12,23,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072092,905714
13,40015,36014,4001,35483,30419,0.85728,6,11,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072091,905715
14,39994,35995,3999,36718,30926,0.84226,5,11,22,70,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1072092,905714
15,40034,36030,4004,36816,30449,0.82706,6,11,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072092,905715
16,39994,35994,4000,36764,30715,0.83546,6,11,23,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072089,905711
17,40004,36005,3999,36717,30718,0.83662,6,11,23,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072087,905710
18,40012,36010,4002,36589,31235,0.85367,6,11,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072090,905713
19,40019,36017,4002,36515,30523,0.83590,6,11,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072093,905715
20,39999,35999,4000,36624,28973,0.79109,6,14,33,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072086,905710
21,40164,36148,4016,36729,31116,0.84718,6,12,25,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072093,905715
22,40051,36045,4006,36641,31599,0.86239,6,13,25,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072087,905710
23,40011,36011,4000,36447,29707,0.81507,6,13,34,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072091,905714
24,40099,36088,4011,36527,28052,0.76798,7,16,160,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072091,905714
25,40024,36023,4001,36377,27074,0.74426,7,14,26,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072093,905715
26,40196,36175,4021,36474,27496,0.75385,7,15,24,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072089,905712
27,40017,36016,4001,36149,28075,0.77665,7,15,27,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072092,905715
28,40007,36008,3999,36129,28734,0.79532,6,13,23,2560,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,1078613,907651
29,40109,36097,4012,36173,30725,0.84939,5,11,21,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078612,907651
30,40003,36002,4001,36053,30973,0.85910,5,10,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078608,907647
31,40017,36016,4001,35935,30802,0.85716,6,11,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078613,907651
32,40034,36030,4004,35917,30679,0.85416,6,12,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078613,907651
33,40064,36055,4009,35861,31504,0.87850,7,14,20,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078610,907648
34,40041,36040,4001,35656,30820,0.86437,6,13,19,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078610,907648
35,40208,36187,4021,35740,31241,0.87412,6,13,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078613,907651
36,40053,36048,4005,35550,30517,0.85842,6,12,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078613,907651
37,40005,36004,4001,35290,31202,0.88416,6,11,19,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078610,907648
38,40011,36010,4001,35207,31062,0.88227,6,12,20,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078611,907649
39,40015,36013,4002,35159,29248,0.83188,6,13,24,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078604,907644
40,40016,36015,4001,35305,27991,0.79283,6,14,32,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078613,907651
41,40000,36000,4000,35297,27522,0.77973,6,14,24,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078608,907646
42,40008,36007,4001,35430,27829,0.78546,6,12,24,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078608,907647
43,40013,36011,4002,36342,28528,0.78499,6,12,24,70,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1078605,907644
44,40113,36103,4010,36604,27704,0.75686,6,12,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078612,907650
45,40003,36002,4001,36344,30890,0.84993,6,12,25,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078611,907650
46,40145,36131,4014,36450,31039,0.85155,6,12,25,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078608,907647
