t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40204,36184,4020,36616,32261,0.88106,9,19,29,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126659,955827
2,40059,36054,4005,36371,33954,0.93355,8,18,28,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126661,955829
3,40008,36007,4001,36135,33189,0.91847,5,11,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126660,955828
4,40014,36012,4002,35996,32078,0.89115,7,15,23,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126661,955829
5,39998,35998,4000,35955,32830,0.91309,5,13,20,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126658,955827
6,40208,36188,4020,36105,31782,0.88027,7,16,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126661,955829
7,40066,36059,4007,35878,32002,0.89197,9,19,30,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126654,955823
8,40119,36107,4012,35907,31384,0.87404,6,14,23,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126655,955823
9,40012,36011,4001,35723,30728,0.86017,10,22,32,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126661,955829
10,40215,36194,4021,35814,30859,0.86165,9,20,31,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126661,955829
11,40197,36177,4020,35853,29568,0.82470,8,17,25,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126661,955829
12,40095,36085,4010,35593,29266,0.82224,8,19,28,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126661,955829
13,40010,36008,4002,35770,30553,0.85415,8,18,25,68,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1161866,975371
14,40198,36180,4018,37041,29264,0.79004,7,16,23,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161866,975371
15,40121,36109,4012,36944,29539,0.79956,6,17,27,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161866,975371
16,40048,36043,4005,36828,30225,0.82071,7,16,24,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161865,975370
17,40193,36173,4020,36847,30897,0.83852,7,15,23,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161866,975371
18,40117,36106,4011,36712,31368,0.85443,10,22,31,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161859,975365
19,40171,36154,4017,36715,30476,0.83007,4,11,18,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161866,975371
