t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40003,36004,3999,36106,31492,0.87221,12,25,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084503,914786
2,40211,36189,4022,36202,33676,0.93022,11,23,30,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084510,914793
3,40005,36005,4000,35764,32917,0.92039,12,24,30,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084507,914792
4,40022,36019,4003,35631,31614,0.88726,11,24,30,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084509,914792
5,40013,36012,4001,35589,32469,0.91233,11,23,30,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084509,914792
6,40007,36006,4001,35569,31280,0.87942,13,26,31,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084506,914790
7,40016,36015,4001,35462,31570,0.89025,13,26,31,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084507,914791
8,40211,36190,4021,35617,31097,0.87309,13,26,31,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084510,914793
9,40012,36011,4001,35385,30374,0.85839,13,26,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084505,914788
10,40210,36188,4022,35486,30493,0.85930,13,26,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084510,914793
11,40196,36177,4019,35457,29229,0.82435,13,26,31,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084510,914793
12,40039,36035,4004,35268,28924,0.82012,14,27,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084507,914791
13,40011,36010,4001,35159,30091,0.85585,11,25,31,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084505,914788
14,40188,36169,4019,36515,31088,0.85138,10,24,31,72,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1088591,917460
15,40160,36144,4016,36706,30259,0.82436,13,27,32,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088587,917455
16,40213,36192,4021,36590,30445,0.83206,13,26,31,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088594,917462
17,40204,36183,4021,36475,30488,0.83586,13,27,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088594,917462
18,40202,36182,4020,36377,31030,0.85301,13,27,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088594,917462
19,40015,36014,4001,36171,29959,0.82826,12,25,31,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088593,917462
20,40071,36064,4007,36321,28744,0.79139,14,28,36,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088594,917462
21,40006,36005,4001,36337,30852,0.84905,13,27,33,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088591,917459
22,40070,36063,4007,36275,31221,0.86068,13,26,32,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088590,917458
23,40154,36138,4016,36203,29309,0.80957,13,27,32,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088592,917460
24,40013,36013,4000,36051,27529,0.76361,14,28,34,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088591,917460
25,40013,36011,4002,35912,26568,0.73981,14,28,33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088592,917461
