t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40207,36186,4021,36290,31895,0.87889,11,24,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077404,908740
2,40013,36012,4001,36007,33587,0.93279,12,23,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077394,908731
3,40018,36017,4001,35770,32651,0.91280,12,24,30,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077404,908740
4,40055,36049,4006,35667,31792,0.89136,12,25,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077405,908741
5,40143,36128,4015,35652,32503,0.91167,12,24,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077403,908739
6,40066,36060,4006,35612,31307,0.87911,12,25,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077405,908741
7,40011,36010,4001,35470,31491,0.88782,12,25,30,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077402,908738
8,40010,36009,4001,35442,30915,0.87227,12,25,30,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077403,908739
9,40010,36009,4001,35379,30369,0.85839,12,25,31,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077402,908738
10,40307,36276,4031,35649,30729,0.86199,12,25,31,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077403,908739
11,40286,36257,4029,35562,29099,0.81826,13,26,32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077406,908742
12,40045,36041,4004,35311,29067,0.82317,13,27,32,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077402,908738
13,40006,36005,4001,35397,30333,0.85694,12,25,31,74,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1077402,908738
14,40014,36013,4001,36538,31085,0.85076,12,25,30,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077402,908738
15,40186,36167,4019,36679,30250,0.82472,12,26,31,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077406,908742
16,40014,36013,4001,36479,30391,0.83311,12,25,30,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077403,908740
17,40343,36308,4035,36618,30645,0.83688,12,25,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077397,908733
18,40236,36213,4023,36397,31089,0.85416,13,26,31,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077406,908742
19,40023,36021,4002,36214,29623,0.81800,11,26,32,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077401,908737
20,40279,36251,4028,36512,29226,0.80045,13,27,33,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077404,908740
21,40018,36016,4002,36303,30915,0.85158,13,26,33,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077405,908741
22,40345,36310,4035,36474,31339,0.85921,13,26,31,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077402,908740
23,40310,36279,4031,36284,29410,0.81055,13,27,32,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077402,908738
24,40012,36011,4001,36016,27266,0.75705,13,27,33,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077402,908740
25,40139,36124,4015,36065,26776,0.74244,14,28,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077405,908741
26,40344,36311,4033,36233,27279,0.75288,14,28,33,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077403,908740
27,40083,36075,4008,35936,27965,0.77819,14,27,33,110,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,1081234,910401
28,40606,36545,4061,36971,30068,0.81329,9,23,29,132,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1085093,910871
29,40012,36011,4001,36228,31505,0.86963,12,25,31,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085092,910870
30,40051,36046,4005,36236,31212,0.86135,12,25,30,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085094,910872
31,40077,36070,4007,36205,30905,0.85361,12,26,31,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085093,910872
32,40256,36230,4026,36361,31218,0.85856,12,25,30,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085092,910870
33,40175,36157,4018,36129,31909,0.88320,12,25,31,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085094,910872
34,40248,36223,4025,36026,31153,0.86474,12,25,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085090,910869
35,40334,36301,4033,36004,31243,0.86776,13,26,31,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085097,910875
36,40006,36005,4001,35643,30781,0.86359,11,24,29,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085095,910873
37,40011,36010,4001,35470,31401,0.88528,12,25,31,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085092,910870
38,40181,36164,4017,35494,31070,0.87536,13,26,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085094,910873
39,40017,36014,4003,35336,29543,0.83606,13,26,32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085091,910870
40,40002,36002,4000,35475,27416,0.77283,13,27,32,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085092,910871
41,40013,36012,4001,35546,28087,0.79016,14,27,33,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085096,910874
42,40103,36092,4011,36413,28776,0.79027,12,26,32,78,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1085093,910871
