t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,40402,36360,4042,36517,31372,0.85911,10,22,28,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076434,909298
2,40109,36100,4009,36135,33238,0.91983,10,21,27,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076429,909292
3,40373,36336,4037,36179,32851,0.90801,10,21,26,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076435,909298
4,40401,36360,4041,36006,32046,0.89002,10,21,28,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076435,909298
5,40177,36159,4018,35677,32540,0.91207,11,22,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076433,909296
6,40021,36020,4001,35566,31288,0.87972,10,22,27,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076431,909294
7,40230,36206,4024,35658,31663,0.88796,11,23,28,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076434,909297
8,40001,36001,4000,35455,30898,0.87147,11,24,29,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076432,909295
9,40005,36005,4000,35383,30412,0.85951,10,23,29,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076433,909296
10,40250,36225,4025,35557,30604,0.86070,11,25,31,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076433,909297
11,40166,36149,4017,35421,28996,0.81861,10,23,29,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076434,909297
12,40244,36219,4025,35453,29248,0.82498,12,25,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076429,909293
13,40345,36311,4034,35500,30415,0.85676,11,24,28,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076435,909298
14,40297,36267,4030,36550,31011,0.84845,9,22,27,64,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1076428,909291
15,40199,36180,4019,36667,30155,0.82240,11,25,30,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076433,909296
16,40022,36019,4003,36441,30210,0.82901,12,26,31,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076434,909297
17,40295,36266,4029,36633,30676,0.83739,10,24,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076433,909298
18,40301,36271,4030,36494,31247,0.85622,12,25,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076435,909298
19,40081,36072,4009,36278,29553,0.81463,12,26,31,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076432,909295
20,40404,36364,4040,36640,29422,0.80300,11,25,30,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076435,909298
21,40405,36366,4039,36619,31099,0.84926,12,25,31,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076434,909297
22,40037,36032,4005,36192,31062,0.85826,12,25,31,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076435,909298
23,40054,36049,4005,36164,29337,0.81122,11,26,32,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076432,909295
24,40008,36007,4001,36031,27108,0.75235,13,27,32,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076431,909294
25,40075,36067,4008,36037,26905,0.74659,12,27,32,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076432,909296
26,40412,36371,4041,36315,27329,0.75255,12,27,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076435,909298
27,40121,36109,4012,35893,27910,0.77759,12,27,32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076432,909296
28,40245,36221,4024,36398,28253,0.77622,7,23,30,2688,0,29,6,0,0,0,0,0,0,0,0,0,0,0,0,1084181,914880
29,40022,36019,4003,36312,30453,0.83865,10,24,29,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084178,914877
30,40413,36372,4041,36561,30835,0.84339,10,23,27,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084181,914880
31,40260,36235,4025,36398,30809,0.84645,11,23,27,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084177,914876
32,40029,36024,4005,36158,30964,0.85635,10,22,27,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084177,914877
33,40020,36019,4001,36041,31855,0.88385,11,24,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084180,914879
34,40012,36011,4001,35835,30993,0.86488,10,22,28,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084175,914874
35,40016,36014,4002,35677,31019,0.86944,11,23,28,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084178,914879
36,40008,36008,4000,35700,30829,0.86356,11,23,27,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084176,914876
37,40329,36295,4034,35781,31680,0.88539,11,23,28,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084176,914877
38,40014,36013,4001,35282,30845,0.87424,11,22,27,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084176,914876
39,40022,36020,4002,35424,29604,0.83570,9,22,28,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084175,914874
40,40309,36278,4031,35795,27648,0.77240,11,25,29,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084181,914880
41,40001,36001,4000,35605,28148,0.79056,11,24,29,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084177,914878
42,40261,36235,4026,36202,28720,0.79333,10,23,28,84,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1084179,914878
43,40297,36266,4031,37075,28494,0.76855,10,24,28,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084175,914876
44,40198,36180,4018,36906,29062,0.78746,11,24,29,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084177,914876
45,40095,36085,4010,36727,31122,0.84739,11,24,28,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084177,914876
