t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60311,51417,8894,52878,17791,0.33645,6,13,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919746411,304190406
2,60199,51045,9154,52477,17467,0.33285,11,19,24,34,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,919746528,304190519
3,60073,51234,8839,52260,18121,0.34675,5,13,19,63,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,920338247,304596557
4,60025,51118,8907,51625,20535,0.39777,5,14,21,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920932849,304789646
5,60038,50913,9125,51374,21224,0.41313,5,14,21,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921493778,304905841
6,60058,51109,8949,51535,19769,0.38360,5,13,48,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922056425,305014442
7,60280,51247,9033,51687,17752,0.34345,6,15,148,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922579740,305112756
8,60013,50936,9077,51362,16359,0.31850,6,16,152,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923036518,305197716
9,60036,51034,9002,51461,15555,0.30227,6,16,152,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923502655,305284008
10,60160,51095,9065,51515,14702,0.28539,6,16,152,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923988151,305372961
11,60162,51229,8933,51609,13795,0.26730,7,15,136,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924451787,305456459
12,60128,50950,9178,51338,13422,0.26144,7,16,116,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924890596,305533659
13,59997,51038,8959,51953,16116,0.31020,6,11,86,38,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,925138572,305561392
14,60025,51175,8850,52132,18743,0.35953,6,11,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925466055,305585977
15,60007,50941,9066,51884,16499,0.31800,6,13,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925832644,305611410
16,60035,50915,9120,51797,15810,0.30523,6,13,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926198067,305637262
17,60153,51111,9042,51991,15308,0.29444,6,13,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926561798,305665260
18,60074,51032,9042,51895,14963,0.28833,6,13,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926945312,305763556
19,60118,51109,9009,51995,14665,0.28205,7,14,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927339091,305905319
20,60282,51190,9092,52331,15915,0.30412,6,13,18,24,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,927660502,305999618
21,60109,51158,8951,52613,19777,0.37590,6,13,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928017824,306044832
22,60209,51224,8985,52717,17806,0.33777,6,13,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928379847,306069886
23,60016,51257,8759,52768,16917,0.32059,6,13,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928752106,306093778
24,60207,51157,9050,52545,16417,0.31244,6,13,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929122105,306117279
25,60131,51224,8907,52655,16053,0.30487,6,12,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929470755,306160453
26,59992,51003,8989,52416,15975,0.30477,6,12,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929822739,306299366
27,60497,51549,8948,53008,15894,0.29984,7,14,19,24,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,930153809,306429732
28,60017,51166,8851,53135,19827,0.37314,6,13,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930540872,306522583
29,60439,51268,9171,53207,19240,0.36161,6,13,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930911768,306555102
30,60156,51155,9001,53081,17882,0.33688,6,12,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931283773,306582223
31,60579,51582,8997,53446,17352,0.32466,6,13,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931657910,306608370
32,60020,50931,9089,52885,17211,0.32544,6,13,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932028979,306636002
33,59995,50820,9175,52672,17065,0.32399,6,11,22,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932362207,306716728
34,60027,50970,9057,52850,16796,0.31781,6,12,21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932716203,306863911
35,60020,51043,8977,52845,16520,0.31261,5,13,36,63,0,110,14,0,0,0,0,0,0,0,0,0,0,0,0,932922462,306994402
36,60310,51347,8963,51837,17349,0.33468,5,13,27,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933385949,307185355
37,60151,51026,9125,51509,19158,0.37194,6,14,22,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933858089,307314835
38,60007,51019,8988,51473,19172,0.37247,6,15,25,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934318078,307409433
39,60450,51432,9018,51839,19255,0.37144,6,14,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934798033,307503674
40,60005,50986,9019,51444,18961,0.36858,6,14,120,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935292578,307597015
41,60079,50919,9160,51331,17014,0.33146,6,15,148,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935784967,307686979
42,60191,51261,8930,51690,15788,0.30544,6,16,148,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936272513,307774190
43,60224,51237,8987,51658,14983,0.29004,7,17,152,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936756114,307860048
44,60352,51263,9089,51661,14405,0.27884,7,18,144,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937199786,307937824
45,60025,50795,9230,51137,13773,0.26934,7,16,114,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937623479,308013033
46,60034,51019,9015,51370,13363,0.26013,7,15,106,53,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,937952538,308073345
47,60551,51514,9037,52441,17493,0.33357,6,11,25,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938258201,308105046
48,60509,51568,8941,52491,17993,0.34278,6,13,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938614640,308130428
49,60116,51013,9103,51967,16373,0.31507,6,13,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938966279,308154772
50,60016,51022,8994,51933,15677,0.30187,6,13,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939310019,308179847
51,60200,51216,8984,52093,15237,0.29250,7,14,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939652988,308206778
52,60053,51028,9025,51945,15111,0.29090,7,14,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940019195,308298514
53,60086,51011,9075,51854,14657,0.28266,7,14,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940402136,308435512
54,60025,51096,8929,52174,15694,0.30080,7,14,19,25,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,940713314,308529879
55,60022,50979,9043,52406,19485,0.37181,6,13,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941076431,308577002
56,60267,51235,9032,52662,17793,0.33787,6,13,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941438946,308602304
57,59993,51158,8835,52521,17035,0.32435,6,13,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941799489,308625922
58,60052,51169,8883,52568,16397,0.31192,7,13,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942157242,308648572
59,60063,50976,9087,52426,15993,0.30506,7,13,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942502929,308675724
60,60034,51027,9007,52482,15785,0.30077,7,13,21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942848330,308802981
61,59988,51109,8879,52462,15617,0.29768,7,14,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943183385,308934012
62,60005,50903,9102,52689,17976,0.34117,6,13,19,26,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,943493462,309027249
63,60010,51036,8974,53020,19985,0.37693,6,13,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943856494,309072921
64,60576,51458,9118,53367,18321,0.34330,6,13,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944214036,309099852
65,60019,51171,8848,53014,17534,0.33074,6,13,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944573512,309125811
66,60010,51059,8951,52963,17227,0.32526,7,13,38,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944934726,309151274
67,60615,51489,9126,53395,16981,0.31803,7,13,78,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945277640,309180713
68,60011,50982,9029,52853,16718,0.31631,7,12,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945606922,309297800
69,60148,51205,8943,53118,16829,0.31682,7,14,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945847538,309399139
70,60279,51285,8994,53081,16732,0.31522,6,14,102,62,0,165,13,0,0,0,0,0,0,0,0,0,0,0,0,946058170,309544219
71,60295,51253,9042,51632,17350,0.33603,6,16,100,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946416206,309695816
72,60004,50971,9033,51356,18840,0.36685,6,15,41,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946754840,309805503
73,60362,51353,9009,51748,19152,0.37010,6,14,22,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947226093,309904572
74,60283,51225,9058,51655,18972,0.36728,6,15,76,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947679930,309994518
75,60266,51246,9020,51667,19063,0.36896,7,15,49,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948154901,310086958
76,60123,51309,8814,51679,17977,0.34786,7,16,61,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948628986,310176870
77,60191,51091,9100,51463,16451,0.31967,8,16,112,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949102037,310265855
78,60384,51496,8888,51799,15533,0.29987,8,17,148,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949573003,310352456
79,60122,51308,8814,51692,14914,0.28852,8,17,152,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950037116,310436176
80,60471,51429,9042,51772,14112,0.27258,7,17,132,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950467716,310512434
81,60028,51012,9016,51320,13360,0.26033,8,17,118,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950877733,310585768
82,30027,25459,4568,25618,6612,0.25810,7,17,106,57,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,951165389,310634689
83,0,0,0,0,0,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951501827,310656223
84,0,0,0,0,0,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951912860,310675148
85,0,0,0,0,0,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952327102,310696869
86,0,0,0,0,0,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952747228,310725129
87,0,0,0,0,0,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953198278,310883786
88,0,0,0,0,0,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953643108,311036645
89,452803,384973,67830,392069,111310,0.28390,5,7,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953701208,311056415
90,60142,51064,9078,52165,16589,0.31801,9,18,23,31,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,953852686,311113916
91,60289,51171,9118,52674,19446,0.36918,6,12,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954231121,311162960
92,60011,51056,8955,52561,18211,0.34647,6,12,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954608884,311192982
93,60602,51470,9132,52965,17450,0.32946,6,13,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954974789,311220280
94,60260,51140,9120,52471,16823,0.32062,6,13,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955322405,311245674
95,60433,51426,9007,52877,16558,0.31314,6,13,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955672594,311281250
96,60015,51129,8886,52479,16145,0.30765,6,13,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956035165,311354193
97,60271,51208,9063,52613,16115,0.30629,7,13,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956354481,311488663
