t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60052,51107,8945,52525,19166,0.36489,13,22,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558651,397068
2,60603,51434,9169,52704,18813,0.35696,13,25,31,84,0,55,13,0,0,0,0,0,0,0,0,0,0,0,0,1572985,406364
3,60532,51573,8959,52072,17808,0.34199,13,24,30,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572985,406364
4,60100,51224,8876,51717,17926,0.34662,16,26,32,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572984,406363
5,60024,50907,9117,51339,17729,0.34533,17,27,33,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572983,406364
6,60053,51090,8963,51547,17682,0.34303,17,26,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572983,406363
7,60212,51182,9030,51651,17867,0.34592,17,27,33,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572983,406364
8,60010,50955,9055,51394,17856,0.34743,18,27,33,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572981,406362
9,60032,50967,9065,51394,17774,0.34584,16,26,31,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572984,406364
10,60202,51166,9036,51867,17670,0.34068,13,25,31,43,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1572980,406362
11,60113,51213,8900,52148,18015,0.34546,16,26,32,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572983,406364
12,60039,50859,9180,51836,18124,0.34964,16,26,33,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572983,406363
13,60035,51074,8961,52077,17974,0.34514,17,27,33,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572985,406364
