t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60592,51532,9060,52978,18043,0.34058,15,24,28,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557946,472812
2,60150,51083,9067,52538,17904,0.34078,13,22,27,38,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1557946,472812
3,60124,51179,8945,52176,17421,0.33389,7,15,18,35,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1572355,486791
4,60003,51157,8846,51667,16972,0.32849,16,24,28,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572351,486788
5,60610,51354,9256,51780,16963,0.32760,15,24,29,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572355,486791
6,60146,51249,8897,51703,17015,0.32909,15,24,28,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572354,486790
7,60012,51004,9008,51438,16892,0.32840,16,25,29,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572354,486791
8,60124,51052,9072,51450,16914,0.32875,17,25,29,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572352,486789
9,60017,50954,9063,51390,17113,0.33300,15,24,29,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572350,486789
10,60608,51514,9094,51944,17023,0.32772,13,23,28,40,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1572355,486791
11,60120,51178,8942,52194,17754,0.34015,12,23,28,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572355,486791
12,60220,51089,9131,52070,17906,0.34388,16,25,29,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572354,486791
13,60615,51515,9100,52518,17494,0.33310,16,25,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572354,486790
14,60022,51152,8870,52057,17477,0.33573,17,25,29,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572355,486791
15,60187,51117,9070,52065,17692,0.33981,16,25,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572351,486790
16,60308,51121,9187,52036,17560,0.33746,16,25,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572355,486791
17,60089,51103,8986,52023,17972,0.34546,17,25,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572354,486790
18,60605,51433,9172,52449,18010,0.34338,13,24,29,40,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1572353,486791
19,60130,51137,8993,52607,18343,0.34868,13,23,27,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572354,486790
20,60405,51329,9076,52768,18479,0.35019,17,25,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572354,486791
21,60326,51320,9006,52831,18613,0.35231,15,25,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572354,486790
22,60047,51121,8926,52556,18667,0.35518,17,25,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572353,486790
23,60227,51424,8803,52806,18509,0.35051,16,24,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572355,486791
24,60003,50988,9015,52405,18433,0.35174,15,24,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572353,486789
25,60012,51181,8831,52610,18400,0.34974,16,25,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572355,486791
26,60602,51506,9096,53045,18782,0.35408,11,23,28,39,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1572355,486791
27,60136,51240,8896,53168,19007,0.35749,14,24,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572354,486791
28,60146,51164,8982,53135,19362,0.36439,16,25,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572354,486791
29,60166,51063,9103,53027,19239,0.36282,15,24,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572352,486790
30,60071,51110,8961,53012,19036,0.35909,17,25,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572353,486790
31,60564,51517,9047,53497,19162,0.35819,17,25,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572354,486791
32,60003,50926,9077,52822,19007,0.35983,16,24,29,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572355,486791
33,60026,50908,9118,52769,19282,0.36540,17,25,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572355,486791
34,60621,51444,9177,53522,19510,0.36452,12,24,29,36,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0,1577152,491137
35,60126,51197,8929,51971,17698,0.34054,8,19,25,58,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1601043,510944
36,60158,51198,8960,51663,17387,0.33655,16,24,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601042,510944
37,60153,51013,9140,51449,17601,0.34211,10,22,29,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601044,510944
38,59996,51025,8971,51502,17461,0.33904,9,15,25,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601043,510943
39,60042,51039,9003,51420,17668,0.34360,8,16,29,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601042,510943
40,60017,50998,9019,51387,17428,0.33915,10,18,30,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601044,510944
41,60281,51096,9185,51530,17531,0.34021,13,25,41,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601044,510944
42,60304,51374,8930,51952,17930,0.34513,11,24,35,52,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1601041,510943
43,60297,51295,9002,52305,18261,0.34913,14,26,38,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601041,510944
44,60008,50954,9054,51819,18063,0.34858,15,27,38,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601043,510943
45,60027,50725,9302,51673,17836,0.34517,14,23,33,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601040,510943
46,60134,51168,8966,52086,17962,0.34485,15,24,34,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601039,510942
47,60137,51187,8950,52159,18152,0.34801,16,25,34,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601043,510944
48,60308,51363,8945,52262,18275,0.34968,11,21,30,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601044,510944
49,60022,50975,9047,51938,18082,0.34815,11,16,23,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601040,510943
50,60015,50966,9049,52078,18308,0.35155,9,18,28,46,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1601041,510944
51,60020,51035,8985,52437,18622,0.35513,10,17,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601044,510944
52,60081,51111,8970,52631,18791,0.35703,14,23,30,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601044,510944
53,60148,51055,9093,52479,18528,0.35306,16,24,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601044,510944
54,60100,51133,8967,52502,18668,0.35557,11,23,37,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601044,510944
55,60070,51086,8984,52563,18608,0.35401,15,27,42,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601041,510942
56,60036,50988,9048,52349,18519,0.35376,14,22,28,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601044,510944
57,60065,51251,8814,52652,18865,0.35830,15,22,28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601044,510944
58,60304,51347,8957,53051,19034,0.35879,9,18,24,28,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1601043,510944
59,60304,51180,9124,53202,19070,0.35845,14,22,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601044,510944
60,60009,51039,8970,53087,19390,0.36525,15,23,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601041,510942
61,60315,51326,8989,53264,19123,0.35902,16,23,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601042,510944
62,60010,51032,8978,52963,19070,0.36006,15,22,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601043,510943
63,60116,51046,9070,52909,19201,0.36291,15,23,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601044,510944
64,60301,51279,9022,53215,19212,0.36103,16,23,29,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601044,510944
65,60304,51351,8953,53263,19159,0.35971,13,21,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601042,510943
66,60310,51329,8981,53360,19294,0.36158,6,19,24,66,0,164,13,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
67,60064,51025,9039,51493,17247,0.33494,10,19,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
68,60090,51032,9058,51511,17380,0.33740,15,23,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643840,541181
69,60293,51299,8994,51746,17294,0.33421,15,22,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
70,59997,51054,8943,51468,17382,0.33772,16,24,28,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
71,60017,50928,9089,51346,17223,0.33543,14,22,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
72,60227,51305,8922,51691,17559,0.33969,14,22,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
73,60304,51269,9035,51659,17516,0.33907,14,21,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
74,60010,50930,9080,51759,17873,0.34531,9,18,23,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1643838,541180
75,60224,51383,8841,52369,18230,0.34811,15,22,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
76,59893,51016,8877,51980,18002,0.34633,16,23,29,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
77,60657,51608,9049,52541,18226,0.34689,15,23,28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
78,60013,51120,8893,52071,17997,0.34562,15,23,28,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
79,60009,51104,8905,52032,18140,0.34863,15,22,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643839,541179
80,60169,51180,8989,52078,18059,0.34677,14,22,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643835,541179
81,60084,51080,9004,51979,18072,0.34768,14,22,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643840,541181
82,60304,51274,9030,52561,18707,0.35591,9,19,24,31,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
83,60028,51027,9001,52508,18358,0.34962,15,23,28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643838,541181
84,60304,51336,8968,52839,18526,0.35061,15,22,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
85,60011,51029,8982,52516,18436,0.35105,16,23,29,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
86,60091,51031,9060,52515,18349,0.34940,16,24,29,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643840,541181
87,60296,51244,9052,52699,18537,0.35175,15,23,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
88,60255,51253,9002,52661,18683,0.35478,13,22,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
89,60289,51194,9095,52565,18724,0.35621,15,23,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643839,541181
90,60313,51247,9066,52945,18672,0.35267,10,20,25,32,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
91,60299,51155,9144,53150,19098,0.35932,14,22,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643838,541180
92,60312,51223,9089,53114,18933,0.35646,12,20,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
93,60305,51181,9124,53095,19097,0.35968,15,23,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643839,541179
94,60013,51030,8983,52943,18830,0.35567,16,24,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
95,60010,51101,8909,53009,19124,0.36077,16,23,29,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
96,60180,51207,8973,53160,19064,0.35862,14,22,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643841,541181
97,60102,51101,9001,53052,19109,0.36019,15,23,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643840,541180
