t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60947,24270,36677,19384,12358,0.63754,4,144,168,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607066,344460
2,59820,23725,36095,17475,10745,0.61488,4,144,168,20,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,609821,347215
3,60824,24286,36538,19031,12096,0.63559,3,144,196,32,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,644125,381519
4,60129,24032,36097,17234,10509,0.60978,4,144,168,17,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,644126,381520
5,60227,24022,36205,18807,12088,0.64274,3,144,164,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644125,381520
6,59284,23656,35628,17148,10597,0.61797,4,144,168,18,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,644126,381520
7,60803,24472,36331,19415,12611,0.64955,3,144,168,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644126,381520
8,60000,23924,36076,17660,11065,0.62656,4,144,168,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,644123,381518
9,60260,24275,35985,19230,12689,0.65985,4,144,164,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644124,381518
10,59900,23993,35907,17713,11228,0.63388,4,144,168,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644126,381520
11,60670,24320,36350,19052,12569,0.65972,3,144,424,53,0,160,10,0,0,0,0,0,0,0,0,0,0,0,0,688907,426301
12,59995,23907,36088,17060,10695,0.62691,4,144,168,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688907,426301
13,60023,23965,36058,18790,12445,0.66232,3,144,164,18,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,688907,426301
14,60368,24033,36335,17607,11198,0.63600,4,144,168,17,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,688907,426301
15,60000,24203,35797,19239,12912,0.67114,3,144,164,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688907,426301
16,60513,24175,36338,17728,11497,0.64852,4,144,164,16,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,688906,426300
