t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60021,23811,36210,18852,11467,0.60826,4,144,168,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607188,309481
2,60391,23942,36449,17801,10586,0.59469,4,148,176,23,0,43,10,0,0,0,0,0,0,0,0,0,0,0,0,621720,321323
3,60040,24003,36037,18613,8856,0.47580,4,148,188,39,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,644207,328877
4,60025,24010,36015,17402,8935,0.51345,4,144,172,18,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,644207,328877
5,60165,24031,36134,18680,10633,0.56922,4,144,168,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644207,328877
6,60072,23984,36088,17545,9840,0.56084,4,148,172,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,644207,328877
7,60003,24047,35956,18895,11411,0.60392,3,144,168,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644207,328877
8,60011,23981,36030,17785,10409,0.58527,4,148,168,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,644207,328877
9,60227,24273,35954,19164,11959,0.62403,4,144,168,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644207,328877
10,60246,24148,36098,17953,10876,0.60580,4,148,172,22,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,651340,335851
11,60406,24155,36251,18715,9181,0.49057,4,148,560,46,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,688947,350064
12,60303,23996,36307,17247,8810,0.51081,4,144,172,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,688947,350064
13,60190,24051,36139,18784,10926,0.58167,4,144,168,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688947,350064
14,60105,23996,36109,17515,9904,0.56546,4,144,168,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,688947,350064
15,60056,24162,35894,19148,11819,0.61724,4,144,168,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688944,350063
16,60229,24050,36179,17817,10724,0.60190,4,144,168,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,688947,350064
17,60282,24220,36062,19297,12392,0.64217,4,144,168,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688947,350064
18,60148,24293,35855,18058,11209,0.62072,4,144,172,33,0,23,10,0,0,0,0,0,0,0,0,0,0,0,0,697922,358624
19,60078,24053,36025,18898,9483,0.50180,4,144,640,70,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,741065,372759
20,60588,24137,36451,17356,8831,0.50882,4,144,172,38,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,741065,372759
21,60217,23973,36244,18808,11046,0.58730,4,140,168,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741064,372758
22,60026,23869,36157,17516,10120,0.57776,4,144,168,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,741065,372759
23,60012,23991,36021,18967,11782,0.62118,4,144,168,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741065,372759
24,60018,24030,35988,17652,10638,0.60265,4,144,168,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,741065,372759
25,60002,23891,36111,19047,12317,0.64666,4,144,168,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741065,372759
26,60104,24163,35941,17975,11255,0.62615,4,144,172,36,0,28,10,0,0,0,0,0,0,0,0,0,0,0,0,751763,382709
27,60128,24327,35801,18897,9651,0.51072,4,148,816,56,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,800380,396956
28,60078,23885,36193,17135,8735,0.50978,4,144,168,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,800380,396956
29,60026,23825,36201,18701,10966,0.58639,4,144,168,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800379,396955
30,60295,24202,36093,17926,10523,0.58702,4,140,168,39,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,800380,396956
31,60021,24045,35976,18840,11717,0.62192,3,144,168,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800380,396956
32,60287,24122,36165,17900,11064,0.61810,4,144,168,38,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,800379,396955
33,60297,24050,36247,19086,12298,0.64435,4,144,168,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800380,396956
34,60011,23996,36015,17800,11347,0.63747,4,144,172,34,0,25,10,0,0,0,0,0,0,0,0,0,0,0,0,810078,406155
35,60013,24041,35972,18783,9527,0.50721,4,148,1088,70,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,866738,422143
36,60096,24031,36065,17348,8842,0.50968,4,144,168,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,866739,422143
37,60234,23875,36359,18692,10893,0.58276,4,144,168,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866739,422143
38,60016,24207,35809,17523,10163,0.57998,4,144,168,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,866738,422142
39,60024,24016,36008,18981,11961,0.63016,4,144,168,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866739,422143
40,59797,23807,35990,17450,10638,0.60963,4,144,168,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,866739,422143
41,60847,24297,36550,19449,12760,0.65607,4,144,172,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866739,422143
42,60055,24257,35798,17911,11250,0.62811,4,144,172,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866739,422143
43,60849,24194,36655,19136,10080,0.52676,4,152,1152,80,0,267,10,0,0,0,0,0,0,0,0,0,0,0,0,939999,448760
44,59742,23796,35946,17139,8585,0.50090,4,144,172,25,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,939998,448760
45,60714,24234,36480,19095,11299,0.59173,4,144,168,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939998,448759
46,59223,23540,35683,16965,9854,0.58084,4,144,168,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,939999,448760
47,61197,24587,36610,19475,12420,0.63774,4,144,168,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939999,448760
48,59933,23956,35977,17420,10759,0.61762,4,144,172,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939999,448760
49,60744,24183,36561,19384,12741,0.65729,4,148,176,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,939998,448759
50,59952,23868,36084,17645,11069,0.62732,4,152,180,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939999,448760
51,60758,24444,36314,19313,11229,0.58142,4,152,216,33,0,95,10,0,0,0,0,0,0,0,0,0,0,0,0,965739,460010
