t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60005,23857,36148,17169,12987,0.75642,4,140,164,50,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6238432,5529490
2,60015,23806,36209,16243,12140,0.74740,5,144,172,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6238431,5529491
3,60211,24029,36182,17761,13291,0.74832,4,140,188,82,0,131,10,0,0,0,0,0,0,0,0,0,0,0,0,6877706,6130004
4,60010,23983,36027,16621,12530,0.75387,4,144,172,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6958632,6209630
5,60200,24207,35993,17553,13430,0.76511,4,140,164,35,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7306363,6549305
6,60009,23835,36174,16333,12361,0.75681,5,144,168,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7306364,6549306
7,60043,24036,36007,17343,13210,0.76169,4,140,164,33,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7652069,6889183
8,60106,24050,36056,16571,12520,0.75554,5,144,172,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7652070,6889184
9,60029,24180,35849,17375,13374,0.76973,4,140,164,35,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8009127,7239663
10,60033,24053,35980,16635,12642,0.75996,5,144,168,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8009125,7239661
11,60202,24132,36070,17684,13229,0.74808,5,128,480,74,0,160,10,0,0,0,0,0,0,0,0,0,0,0,0,8555608,7745880
12,60070,23867,36203,16576,12655,0.76345,4,140,164,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8748225,7933153
13,60000,23958,36042,17350,13328,0.76818,4,140,164,33,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9097989,8276382
14,60329,24084,36245,16482,12435,0.75446,4,144,168,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9097989,8276382
