t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60298,24139,36159,18841,9933,0.52720,7,160,184,41,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,605624,251046
2,59630,23761,35869,17829,9553,0.53581,8,160,188,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605624,251046
3,59827,23896,35931,18551,8707,0.46935,5,144,204,68,0,132,10,0,0,0,0,0,0,0,0,0,0,0,0,642968,263804
4,59943,24036,35907,17601,8089,0.45958,5,148,176,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642968,263805
5,60080,24028,36052,18395,9156,0.49774,7,156,184,41,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,642968,263805
6,60307,23891,36416,17608,9111,0.51744,7,156,184,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642968,263805
7,59625,23876,35749,18323,9696,0.52917,7,152,184,40,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,642968,263805
8,60578,24161,36417,18175,9760,0.53700,10,164,192,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642968,263804
9,59860,24132,35728,18767,10240,0.54564,9,160,196,45,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,642968,263805
10,59627,23830,35797,18085,10089,0.55787,11,164,196,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642969,263805
11,60507,24028,36479,18591,9231,0.49653,4,148,248,48,0,161,10,0,0,0,0,0,0,0,0,0,0,0,0,688048,278306
12,59416,23999,35417,17857,8389,0.46979,5,144,168,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688046,278305
13,60005,23996,36009,18225,9252,0.50765,6,148,176,31,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,688048,278306
14,59996,23990,36006,17960,9587,0.53380,6,152,180,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688046,278305
15,59999,24187,35812,18555,10086,0.54357,5,144,176,33,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,688045,278303
16,60006,24089,35917,18204,10054,0.55230,6,152,176,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688047,278305
17,60013,23870,36143,18331,10321,0.56304,7,156,188,37,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,688048,278306
18,60580,24002,36578,18227,10262,0.56301,8,160,188,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688048,278306
19,59893,24031,35862,18598,9782,0.52597,5,156,592,66,0,189,10,0,0,0,0,0,0,0,0,0,0,0,0,740627,294398
20,59764,23815,35949,17599,8038,0.45673,5,144,172,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740626,294397
21,59737,23862,35875,18176,9235,0.50809,6,148,176,31,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,740627,294398
22,60604,24278,36326,18131,9659,0.53273,8,160,192,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740625,294396
23,59926,23921,36005,18183,9938,0.54655,8,160,196,40,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,740626,294397
24,60076,24058,36018,18251,10424,0.57115,10,164,192,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740627,294398
25,59536,23836,35700,18288,10472,0.57262,10,164,200,44,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,740627,294398
26,60461,24256,36205,18460,10827,0.58651,10,164,192,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740627,294398
27,59586,23920,35666,18340,10373,0.56559,7,168,880,64,0,216,10,0,0,0,0,0,0,0,0,0,0,0,0,800452,311893
28,59829,23840,35989,17862,7896,0.44206,4,140,168,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800451,311892
29,60006,23799,36207,17898,9199,0.51397,6,144,176,27,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,800451,311893
30,60008,23847,36161,18079,9784,0.54118,5,148,176,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800452,311893
31,59979,23923,36056,18094,10027,0.55416,5,148,176,25,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,800452,311893
32,60595,24324,36271,18330,10573,0.57681,7,152,184,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800452,311893
33,59554,24062,35492,18121,10449,0.57662,9,160,192,36,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,800452,311893
34,60441,24252,36189,18677,11060,0.59217,9,160,192,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800452,311893
35,60004,24130,35874,18466,10975,0.59434,7,160,736,49,0,206,10,0,0,0,0,0,0,0,0,0,0,0,0,857963,330081
36,59565,23858,35707,18067,8203,0.45403,4,144,172,29,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,867336,330534
37,60271,24277,35994,18162,9325,0.51343,6,152,180,40,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,867336,330534
38,59588,23924,35664,18221,10098,0.55420,7,156,184,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867335,330534
39,59976,23885,36091,17727,9872,0.55689,7,156,184,29,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,867336,330534
40,60020,23946,36074,18290,10716,0.58589,5,144,176,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867336,330534
41,60232,24102,36130,18176,10613,0.58390,6,152,184,40,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,867336,330534
42,60343,24055,36288,18637,11183,0.60004,8,156,184,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867336,330534
43,59636,23776,35860,18198,10913,0.59968,5,152,560,44,0,157,10,0,0,0,0,0,0,0,0,0,0,0,0,912399,348729
44,59799,24169,35630,18453,8778,0.47570,4,140,184,33,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,941127,350362
45,59987,23949,36038,17685,9021,0.51009,6,148,176,34,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,941127,350362
46,60268,24018,36250,18362,10216,0.55637,5,148,176,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941126,350362
47,59735,24114,35621,17894,10008,0.55929,6,148,180,29,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,941126,350361
48,59968,24177,35791,18647,11118,0.59624,6,148,184,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941127,350362
49,60315,24015,36300,17758,10464,0.58926,8,160,188,34,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,941127,350362
50,60298,24089,36209,18795,11406,0.60686,8,156,192,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941126,350361
51,59470,23790,35680,17885,10876,0.60811,5,144,192,33,0,78,10,0,0,0,0,0,0,0,0,0,0,0,0,962681,354617
52,59942,23743,36199,18352,10636,0.57956,4,144,180,30,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,967126,354818
53,60237,23869,36368,17420,10506,0.60310,7,156,188,42,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,967126,354818
54,59743,23880,35863,18754,11689,0.62328,7,156,188,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967125,354817
55,60013,23762,36251,17482,10956,0.62670,9,156,196,41,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,967125,354817
56,60186,24161,36025,18997,11957,0.62942,6,152,184,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967126,354818
57,59812,23710,36102,17634,11091,0.62896,9,156,192,38,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,967125,354817
58,60419,24063,36356,19147,12180,0.63613,8,160,192,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967126,354818
59,60056,23979,36077,17922,11272,0.62895,5,144,180,36,0,24,10,0,0,0,0,0,0,0,0,0,0,0,0,975690,360731
60,59915,23839,36076,18769,10569,0.56311,4,144,192,38,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,1002900,363327
61,60006,24059,35947,17466,10527,0.60271,6,144,180,28,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1002900,363327
62,60080,24122,35958,18964,11665,0.61511,6,148,184,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002900,363327
63,60121,24022,36099,17321,10699,0.61769,10,164,196,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002900,363327
64,59751,24028,35723,18911,11823,0.62519,8,160,188,41,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1002900,363327
65,60248,24060,36188,17596,11046,0.62776,10,164,192,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002900,363327
66,59419,23643,35776,18859,11911,0.63158,9,160,192,39,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1002899,363326
67,60578,24264,36314,17927,11325,0.63173,9,164,196,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002900,363327
68,59404,23541,35863,18585,10140,0.54560,4,148,832,34,0,161,10,0,0,0,0,0,0,0,0,0,0,0,0,1047258,374316
69,60014,23811,36203,17190,9938,0.57813,6,148,176,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047256,374315
70,60010,23934,36076,18900,11352,0.60063,5,144,172,24,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1047257,374315
