t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60020,24012,36008,18653,11098,0.59497,4,144,168,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,600520,300204
2,59991,23976,36015,17804,10375,0.58273,5,148,176,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600522,300206
3,59990,23935,36055,18390,11045,0.60060,4,144,192,74,0,131,10,0,0,0,0,0,0,0,0,0,0,0,0,637630,326781
4,60190,24124,36066,17445,10174,0.58320,5,148,172,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637631,326783
5,59824,23902,35922,18182,10984,0.60411,4,144,168,21,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,637631,326782
6,60256,23879,36377,17342,10267,0.59203,5,148,172,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637632,326783
7,59749,23971,35778,18498,11443,0.61861,4,144,168,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,637632,326783
8,60328,24029,36299,17763,10643,0.59917,6,152,176,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637631,326783
9,59862,24115,35747,18836,11774,0.62508,4,140,168,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,637632,326783
10,60064,24019,36045,17923,10996,0.61351,5,148,172,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637631,326782
11,59922,23765,36157,18313,11484,0.62710,3,144,304,68,0,160,10,0,0,0,0,0,0,0,0,0,0,0,0,682409,357826
12,59940,24261,35679,17695,10874,0.61452,4,144,168,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682412,357829
13,60245,24044,36201,18342,11592,0.63199,4,140,168,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,682412,357829
14,60079,24037,36042,17641,10984,0.62264,6,152,176,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682412,357829
15,59543,24001,35542,18448,11805,0.63991,4,140,168,25,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,682412,357829
16,60005,24088,35917,17829,11063,0.62051,5,148,172,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682410,357827
17,60223,23972,36251,18542,12059,0.65036,4,140,168,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,682412,357829
18,60213,23833,36380,17853,11228,0.62891,4,144,168,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682412,357829
19,59855,24056,35799,18571,11963,0.64418,4,144,768,57,0,188,10,0,0,0,0,0,0,0,0,0,0,0,0,734685,393436
20,59697,23755,35942,17211,10875,0.63186,4,144,168,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734687,393437
21,60080,23940,36140,18274,11858,0.64890,4,144,168,29,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,734686,393436
22,59925,24070,35855,17589,11178,0.63551,5,148,172,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734686,393436
23,60005,23983,36022,18245,11971,0.65612,4,144,172,25,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,734686,393436
24,60015,23973,36042,17799,11489,0.64549,6,152,176,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734687,393437
25,60002,24108,35894,18686,12443,0.66590,4,140,172,31,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,734686,393437
26,59971,24010,35961,17843,11608,0.65056,4,140,168,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734687,393437
27,60021,24081,35940,18523,12290,0.66350,3,144,880,62,0,215,10,0,0,0,0,0,0,0,0,0,0,0,0,794148,432885
28,60078,23949,36129,17495,11294,0.64556,4,144,168,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794148,432885
29,59913,23816,36097,18199,12206,0.67070,4,140,168,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,794149,432886
30,60425,23926,36499,17632,11501,0.65228,5,148,172,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794149,432886
31,59922,23904,36018,18368,12361,0.67296,4,140,168,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,794148,432886
32,59654,24009,35645,17588,11680,0.66409,5,148,176,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794145,432884
33,60295,24285,36010,18611,12587,0.67632,4,144,176,29,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,794149,432886
34,59719,24079,35640,18002,12071,0.67054,6,152,180,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794149,432886
35,59978,24064,35914,18563,12736,0.68610,3,144,784,82,0,241,10,0,0,0,0,0,0,0,0,0,0,0,0,860598,476226
36,60116,24028,36088,17605,11867,0.67407,4,144,172,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860599,476226
37,60121,24179,35942,18333,12403,0.67654,4,144,172,26,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,860599,476226
38,59766,24104,35662,17711,11736,0.66264,5,148,176,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860597,476225
39,60091,23856,36235,18046,12259,0.67932,4,144,172,25,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,860598,476226
40,59949,23942,36007,17631,11835,0.67126,5,148,176,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860599,476226
41,59981,24042,35939,18434,12515,0.67891,4,140,172,26,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,860599,476226
42,59960,23881,36079,17825,11851,0.66485,6,148,176,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860598,476226
43,60117,24040,36077,18597,12607,0.67791,4,148,1088,82,0,267,10,0,0,0,0,0,0,0,0,0,0,0,0,933943,523178
44,59890,24198,35692,17615,11598,0.65842,4,148,172,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933945,523178
45,60017,23873,36144,18055,12015,0.66547,4,144,172,28,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,933944,523177
46,60001,23952,36049,17576,11449,0.65140,5,148,172,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933945,523178
47,59994,24152,35842,18398,12166,0.66127,4,144,168,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,933945,523178
48,60054,24374,35680,18033,11820,0.65546,6,152,176,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933945,523178
49,60132,23846,36286,18151,12077,0.66536,4,144,176,27,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,933944,523177
50,59828,23840,35988,17730,11574,0.65279,5,148,172,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933945,523178
51,60162,24066,36096,18539,12352,0.66627,4,148,544,47,0,95,10,0,0,0,0,0,0,0,0,0,0,0,0,959736,532416
52,59831,23739,36092,17473,11438,0.65461,4,144,168,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959737,532416
53,60054,23831,36223,17991,11831,0.65761,4,144,172,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,959737,532416
54,59954,23920,36034,17893,11770,0.65780,5,152,176,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959737,532416
55,59982,23763,36219,18135,12103,0.66738,4,144,172,28,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,959737,532416
56,60145,24107,36038,18042,11724,0.64982,4,148,172,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959737,532416
57,59973,23810,36163,18471,12328,0.66742,4,144,172,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,959737,532416
58,60024,23938,36086,18082,11905,0.65839,6,156,176,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959736,532415
59,59883,23881,36002,18436,12186,0.66099,4,148,1008,49,0,128,10,0,0,0,0,0,0,0,0,0,0,0,0,995270,548920
60,60213,24048,36165,17738,11605,0.65425,4,148,172,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995271,548921
61,60086,24139,35947,18363,12155,0.66193,4,144,168,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,995264,548917
62,59702,23773,35929,17571,11494,0.65415,5,152,176,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995271,548921
