t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59971,23976,35995,19141,12088,0.63152,4,148,172,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,606478,344421
2,59989,23971,36018,17714,10811,0.61031,4,148,168,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606481,344423
3,60013,24165,35848,18950,12100,0.63852,4,148,312,68,0,131,10,0,0,0,0,0,0,0,0,0,0,0,0,643534,381477
4,60011,24193,35818,17450,10445,0.59857,4,144,168,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643535,381477
5,60006,23792,36214,18466,11858,0.64215,3,144,168,18,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,643535,381477
6,60208,24092,36116,17624,10808,0.61325,5,152,176,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643535,381477
7,59782,23929,35853,18860,12279,0.65106,5,152,180,25,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,643535,381477
8,60045,23787,36258,17461,10994,0.62963,6,156,180,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643534,381477
9,60010,24027,35983,18940,12352,0.65216,6,156,180,33,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,643535,381477
10,60418,24137,36281,17695,11199,0.63289,5,152,176,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643535,381477
11,59825,23951,35874,18810,12375,0.65789,4,152,736,52,0,160,10,0,0,0,0,0,0,0,0,0,0,0,0,688348,426290
12,59925,24109,35816,17541,11043,0.62955,5,152,172,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688348,426290
13,59790,23754,36036,18402,12020,0.65319,5,152,172,24,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,688349,426291
14,59979,23758,36221,17377,11088,0.63808,4,148,176,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688349,426291
15,60024,24143,35881,18836,12527,0.66506,5,148,172,21,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,688347,426289
16,60254,24108,36146,17771,11506,0.64746,6,156,180,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688349,426291
17,59790,23917,35873,18825,12559,0.66714,6,160,184,26,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,688346,426289
18,60063,24063,36000,17936,11815,0.65873,7,160,188,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688349,426291
19,60132,24114,36018,18909,12782,0.67597,4,148,1120,64,0,188,10,0,0,0,0,0,0,0,0,0,0,0,0,740597,478539
20,59800,23819,35981,17256,11165,0.64702,4,148,172,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740597,478539
21,59948,23936,36012,18598,12520,0.67319,4,148,168,17,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,740596,478539
22,59994,24127,35867,17751,11627,0.65501,5,148,172,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740596,478538
23,60014,24093,35921,18806,12759,0.67845,5,152,176,27,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,740596,478538
24,60325,24122,36203,18046,11786,0.65311,5,156,180,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740596,478538
25,59682,24113,35569,18954,13027,0.68730,5,152,176,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,740596,478538
26,60338,24281,36057,18166,12190,0.67103,5,152,176,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740596,478538
27,59697,24048,35649,18767,12924,0.68866,4,152,1152,74,0,215,10,0,0,0,0,0,0,0,0,0,0,0,0,800086,538029
28,60103,23962,36141,17503,11458,0.65463,4,144,168,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800087,538029
29,59837,24063,35774,18568,12514,0.67396,4,148,172,18,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,800087,538029
30,60019,23950,36069,17629,11590,0.65744,5,148,176,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800087,538029
31,60017,24031,35986,18686,12743,0.68195,4,148,172,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,800087,538029
32,59968,24149,35819,18036,12017,0.66628,5,152,172,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800087,538029
33,59992,24025,35967,18749,12650,0.67470,5,156,180,21,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,800087,538029
34,60017,23850,36167,17848,11792,0.66069,5,152,176,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800087,538029
35,60030,24115,35915,18889,12526,0.66314,4,152,1216,55,0,242,10,0,0,0,0,0,0,0,0,0,0,0,0,866633,604575
36,60010,23980,36030,17401,10992,0.63169,4,148,172,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866634,604576
37,59953,24136,35817,18460,11939,0.64675,4,148,176,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,866633,604575
38,60071,23997,36074,17736,11385,0.64191,5,152,176,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866634,604576
39,59937,24139,35798,18799,12122,0.64482,5,152,176,24,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,866632,604574
40,60281,23940,36341,17905,11352,0.63401,6,156,176,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866633,604575
41,59712,23977,35735,18661,12173,0.65232,6,156,180,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,866634,604576
42,59985,24028,35957,18176,11694,0.64338,6,156,180,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866632,604575
43,60131,24037,36094,18841,12174,0.64614,4,156,1280,64,0,268,10,0,0,0,0,0,0,0,0,0,0,0,0,940080,678022
44,60285,23833,36452,17554,10819,0.61633,4,148,172,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940079,678021
45,59596,23547,36049,18104,11304,0.62439,4,144,168,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,940080,678022
46,60006,24004,36002,17814,10973,0.61598,4,148,172,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940079,678022
47,60153,24001,36152,18633,11844,0.63565,5,152,172,21,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,940078,678020
48,59843,23928,35915,17833,11097,0.62227,5,156,176,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940079,678021
