t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60221,23892,36329,18738,9920,0.52941,3,136,168,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,608674,252680
2,60132,24160,35972,18252,9705,0.53172,4,140,172,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608672,252678
3,60218,24146,36072,18693,8915,0.47692,4,144,1248,35,0,132,10,0,0,0,0,0,0,0,0,0,0,0,0,646035,265465
4,60030,24225,35805,17849,8110,0.45437,3,136,164,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646035,265465
5,60102,23984,36118,18467,9135,0.49467,4,140,168,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,646036,265466
6,60025,23851,36174,17747,9201,0.51845,4,136,164,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646036,265466
7,60018,24202,35816,18640,9876,0.52983,3,136,164,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,646035,265465
8,60022,23918,36104,17997,9799,0.54448,4,140,168,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646036,265466
9,60004,24133,35871,18826,10234,0.54361,3,136,168,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,646035,265465
10,60305,24074,36231,18164,10034,0.55241,4,140,172,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646036,265466
11,60004,23871,36133,18474,9342,0.50568,4,144,1184,41,0,161,10,0,0,0,0,0,0,0,0,0,0,0,0,691161,279961
12,60005,24098,35907,17873,8141,0.45549,4,140,168,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691161,279961
13,60042,23752,36290,18046,9129,0.50587,4,140,172,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,691161,279961
14,60115,23937,36178,17928,9478,0.52867,4,140,168,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691161,279961
15,60090,23977,36113,18392,9928,0.53980,4,140,172,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,691160,279960
16,60093,24195,35898,18140,10075,0.55540,4,140,168,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691160,279960
17,60124,24077,36047,18426,10221,0.55471,4,140,168,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,691161,279961
18,60033,24065,35968,18389,10452,0.56838,4,140,168,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691161,279961
19,60077,23970,36107,18565,10027,0.54010,4,144,1312,46,0,189,10,0,0,0,0,0,0,0,0,0,0,0,0,743736,295864
20,60148,24296,35852,18092,8191,0.45274,4,140,168,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743737,295864
21,60004,24036,35968,18109,9155,0.50555,4,140,168,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,743737,295864
22,60053,23985,36068,18000,9645,0.53583,4,140,168,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743737,295864
23,60000,23929,36071,18289,9980,0.54568,4,136,168,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,743737,295864
24,60020,24121,35899,18268,10426,0.57072,4,140,168,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743736,295863
25,60055,24198,35857,18728,10726,0.57273,4,140,168,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,743736,295863
26,60015,24178,35837,18517,10938,0.59070,3,136,168,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743737,295864
