t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60940,24177,36763,19344,10375,0.53634,4,144,168,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609301,252967
2,60280,24192,36088,18002,9469,0.52600,5,152,176,37,0,23,10,0,0,0,0,0,0,0,0,0,0,0,0,618355,260253
3,59986,24096,35890,18745,8279,0.44166,4,144,192,54,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,646300,265590
4,60087,24201,35886,17681,8316,0.47034,5,148,172,43,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,646300,265589
5,60332,24109,36223,18906,9740,0.51518,4,144,168,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646301,265590
6,60267,24013,36254,17597,9080,0.51600,4,148,172,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,646301,265590
7,60185,24122,36063,18942,10239,0.54054,4,148,168,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646301,265590
8,60427,24183,36244,17927,9607,0.53590,4,144,168,56,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,646301,265590
9,60362,24272,36090,19262,10759,0.55856,5,148,176,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646300,265590
10,60317,24037,36280,17804,9623,0.54050,6,152,180,54,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,654571,272530
11,60145,23938,36207,18692,8513,0.45544,4,144,256,66,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,691020,280009
12,60033,24011,36022,17493,8417,0.48116,4,144,168,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,691020,280009
