t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60565,24088,36477,19051,12054,0.63272,6,160,184,36,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,607062,344380
2,60196,23885,36311,17605,10840,0.61573,8,164,188,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607063,344380
3,60535,24212,36323,18947,12016,0.63419,4,144,448,64,0,131,10,0,0,0,0,0,0,0,0,0,0,0,0,644144,381461
4,60452,24142,36310,17189,10477,0.60952,6,152,180,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644144,381461
5,60017,23943,36074,18808,12096,0.64313,5,148,172,27,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,644144,381461
6,60346,24141,36205,17554,10845,0.61781,5,148,172,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644144,381461
7,60215,24138,36077,19128,12467,0.65177,5,148,176,26,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,644144,381461
8,60343,24140,36203,17729,11071,0.62446,7,160,188,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644144,381461
9,60615,24363,36252,19345,12729,0.65800,7,160,188,35,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,644143,381461
10,60033,24067,35966,17704,11254,0.63568,11,168,196,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644144,381461
11,60263,24107,36156,18772,12299,0.65518,4,144,280,66,0,160,10,0,0,0,0,0,0,0,0,0,0,0,0,688958,426275
12,60012,23945,36067,17139,10839,0.63242,5,148,176,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688956,426273
