t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60050,23909,36141,18817,9940,0.52825,10,31,196,51,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,607083,250870
2,60264,23911,36353,17712,9400,0.53071,14,37,208,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607084,250870
3,60601,24181,36420,18836,8522,0.45243,5,32,180,57,0,132,10,0,0,0,0,0,0,0,0,0,0,0,0,644330,263571
4,60602,24221,36381,17403,8127,0.46699,9,32,196,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644330,263571
5,60485,24204,36281,18865,9569,0.50724,9,30,192,45,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,644329,263571
6,60034,23897,36137,17450,9023,0.51708,13,36,204,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644330,263571
7,60304,24200,36104,18996,10066,0.52990,10,32,196,49,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,644330,263571
8,60205,24121,36084,17789,9499,0.53398,14,40,204,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644330,263571
9,60613,24382,36231,19228,10533,0.54779,6,34,184,55,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,644328,263569
10,60607,24259,36348,17899,9849,0.55025,8,32,188,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644330,263571
11,60463,24209,36254,18920,8778,0.46395,5,96,192,55,0,160,10,0,0,0,0,0,0,0,0,0,0,0,0,689258,278051
12,60239,24024,36215,17297,8313,0.48060,9,122,192,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689258,278051
13,60600,24198,36402,18856,9842,0.52196,8,122,188,38,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,689258,278051
14,60410,24141,36269,17606,9244,0.52505,13,140,204,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689258,278051
15,60026,24080,35946,18973,10460,0.55131,11,118,200,50,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,689258,278051
16,60276,24137,36139,17721,9800,0.55302,10,112,196,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689258,278051
17,60076,24102,35974,19148,10880,0.56821,8,118,192,61,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,689256,278049
18,60420,24319,36101,17944,10210,0.56899,14,128,208,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689258,278051
19,60325,24258,36067,19156,9196,0.48006,5,116,196,66,0,188,10,0,0,0,0,0,0,0,0,0,0,0,0,741583,294120
20,60591,24083,36508,17280,8334,0.48229,7,124,184,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741582,294120
21,60114,23919,36195,18734,9945,0.53085,6,116,184,40,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,741583,294120
22,60599,24075,36524,17572,9516,0.54154,12,136,200,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741583,294120
23,60608,24268,36340,19176,10703,0.55815,8,128,196,49,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,741583,294120
24,60604,24273,36331,17760,10071,0.56706,8,132,192,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741583,294120
25,60470,24070,36400,19077,11039,0.57865,7,124,188,44,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,741583,294120
26,60620,24383,36237,17970,10477,0.58303,11,136,200,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741583,294120
27,60246,24266,35980,19017,9311,0.48961,4,118,200,66,0,215,10,0,0,0,0,0,0,0,0,0,0,0,0,801112,311521
28,60016,24061,35955,17279,8434,0.48811,7,128,188,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801111,311520
29,60010,23759,36251,18643,9942,0.53328,7,132,192,48,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,801111,311520
30,60611,24216,36395,17540,9693,0.55262,11,136,200,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801112,311521
31,60379,24301,36078,19224,10932,0.56866,9,136,192,44,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,801112,311521
32,60616,24123,36493,17736,10243,0.57753,9,132,200,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801112,311521
33,60027,24031,35996,19329,11326,0.58596,5,120,180,50,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,801110,311520
34,60608,24203,36405,17760,10605,0.59713,8,132,192,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801112,311521
35,60599,24293,36306,19152,9364,0.48893,5,126,440,80,0,242,10,0,0,0,0,0,0,0,0,0,0,0,0,867718,330166
36,60612,24158,36454,17343,8513,0.49086,6,136,184,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867723,330168
37,60049,23891,36158,18645,9931,0.53264,8,136,192,42,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,867722,330168
38,60503,24441,36062,17684,9865,0.55785,13,152,204,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867723,330168
39,60231,23977,36254,18888,10926,0.57846,9,136,196,40,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,867721,330167
40,60107,24022,36085,17595,10222,0.58096,6,128,188,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867723,330168
41,60181,24029,36152,19300,11635,0.60285,5,120,180,31,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,867723,330168
42,60619,24379,36240,18040,10657,0.59074,10,148,196,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867722,330167
43,60099,23862,36237,18775,9501,0.50605,4,128,544,66,0,268,10,0,0,0,0,0,0,0,0,0,0,0,0,941184,350063
44,60013,24033,35980,17329,8477,0.48918,7,136,188,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941183,350062
45,60615,24209,36406,18975,10433,0.54983,7,140,192,50,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,941183,350062
46,60333,24053,36280,17413,9854,0.56590,13,148,204,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941184,350063
47,60488,24198,36290,19030,11166,0.58676,7,136,192,51,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,941184,350063
48,60595,24164,36431,17718,10537,0.59471,6,128,188,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941183,350063
