t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60021,23917,36104,18605,11048,0.59382,3,140,164,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,601571,300144
2,60026,23780,36246,17463,10100,0.57837,3,140,164,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601571,300144
3,60204,24074,36130,18678,11274,0.60360,3,140,232,50,0,131,10,0,0,0,0,0,0,0,0,0,0,0,0,638625,326611
4,60041,24007,36034,17173,9997,0.58213,3,140,164,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638624,326611
5,59998,23945,36053,18399,11233,0.61052,3,136,160,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,638624,326610
6,60217,24055,36162,17516,10279,0.58683,3,140,164,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638625,326611
7,60016,24052,35964,18683,11532,0.61725,3,140,164,18,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,638625,326611
8,60006,23935,36071,17640,10542,0.59762,3,140,164,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638624,326610
9,60015,24197,35818,18827,11800,0.62676,3,136,164,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,638624,326610
10,60019,24066,35953,17833,10800,0.60562,4,140,164,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638624,326610
11,59998,24001,35997,18516,11717,0.63280,3,140,464,74,0,160,10,0,0,0,0,0,0,0,0,0,0,0,0,683399,357728
12,60083,23910,36173,17159,10420,0.60726,3,140,164,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683400,357728
13,60025,23971,36054,18321,11596,0.63293,3,136,164,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,683399,357727
