t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59931,51607,8324,51390,43214,0.84090,4,17,32,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523643,1253794
2,60469,51884,8585,51261,43083,0.84046,7,18,24,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523643,1253794
3,60212,51869,8343,50633,42508,0.83953,11,28,33,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523641,1253793
4,59741,51510,8231,49861,41659,0.83550,11,27,33,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523642,1253793
5,60423,51915,8508,50807,42649,0.83943,8,25,32,59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1523643,1253794
6,60300,51880,8420,52422,44285,0.84478,5,14,19,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523637,1253788
7,59757,51485,8272,51566,43599,0.84550,10,26,33,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523640,1253791
8,60364,51856,8508,51477,43430,0.84368,12,30,35,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523641,1253792
9,59998,51515,8483,50659,42727,0.84342,12,29,35,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523640,1253793
10,59926,51485,8441,50254,42096,0.83766,7,19,28,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523643,1253794
11,60600,52187,8413,51939,44021,0.84755,6,24,33,53,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1523643,1253794
12,60095,51622,8473,52533,44329,0.84383,10,27,32,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523640,1253792
13,60106,51698,8408,52085,43942,0.84366,11,28,33,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523641,1253793
14,60424,52086,8338,51925,43880,0.84506,12,29,34,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523641,1253792
15,59730,51290,8440,50853,42857,0.84276,12,29,35,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523640,1253791
16,60349,51828,8521,50853,42779,0.84123,8,19,27,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523643,1253794
17,60556,52036,8520,52291,44001,0.84146,3,10,17,39,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,1528840,1258840
18,60045,51494,8551,50863,42574,0.83703,9,25,31,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528838,1258838
19,60275,51915,8360,50765,42370,0.83463,11,29,34,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528840,1258840
20,60446,51907,8539,50282,41914,0.83358,10,27,32,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528837,1258839
21,60033,51706,8327,49756,41168,0.82740,11,28,33,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528840,1258840
22,60156,51637,8519,49331,40865,0.82838,8,23,31,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528840,1258840
23,60313,52020,8293,52142,43634,0.83683,6,20,30,51,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1528837,1258837
24,60017,51677,8340,51350,43148,0.84027,11,27,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528840,1258840
25,60136,51972,8164,51143,43012,0.84101,11,29,34,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528839,1258839
26,60138,51735,8403,50508,42193,0.83537,12,29,34,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528837,1258837
27,60016,51719,8297,50043,41923,0.83774,9,25,32,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528840,1258840
28,60280,51986,8294,50936,42635,0.83703,4,12,17,29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1528840,1258840
29,60305,51845,8460,52415,44093,0.84123,9,25,31,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528840,1258840
30,59740,51354,8386,51244,43071,0.84051,10,27,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528837,1258837
31,60506,52045,8461,51540,43456,0.84315,9,25,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528837,1258837
