t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60415,51906,8509,51739,43646,0.84358,10,26,32,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522863,1255577
2,60022,51598,8424,50875,42885,0.84295,11,29,35,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522873,1255586
3,60185,51639,8546,50571,42668,0.84372,8,23,31,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522873,1255586
4,59527,51183,8344,49615,41513,0.83670,12,29,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522870,1255583
5,60149,51713,8436,51317,43134,0.84054,11,28,33,56,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1522873,1255586
6,59903,51504,8399,52067,44108,0.84714,11,28,33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522872,1255586
7,59982,51627,8355,51550,43453,0.84293,11,28,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522869,1255582
8,60024,51618,8406,51295,43323,0.84459,12,29,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522873,1255586
9,60276,51757,8519,51047,42912,0.84064,12,29,34,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522869,1255582
10,59796,51313,8483,50112,42020,0.83852,12,29,35,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522870,1255583
11,60104,51648,8456,52110,43992,0.84421,11,28,33,54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1522873,1255586
12,60568,52103,8465,52932,44800,0.84637,7,21,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522870,1255583
13,59440,50983,8457,51301,43552,0.84895,12,30,35,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522868,1255582
14,60041,51579,8462,51566,43479,0.84317,12,30,35,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522870,1255583
15,60245,51865,8380,51256,43121,0.84129,12,30,35,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522869,1255583
16,59846,51395,8451,50709,42681,0.84168,12,29,34,104,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,1528051,1260635
17,60649,52194,8455,51978,43622,0.83924,9,25,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528051,1260635
18,59959,51735,8224,51071,42736,0.83680,10,27,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528051,1260635
19,60136,51724,8412,50567,42134,0.83323,11,28,34,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528051,1260635
