t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60031,51550,8481,51020,42961,0.84204,10,28,33,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522221,1253540
2,60556,52113,8443,51128,43092,0.84283,12,29,34,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522229,1253546
3,59537,51050,8487,49720,41859,0.84189,12,29,34,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522225,1253542
4,60602,52092,8510,50199,41989,0.83645,11,28,33,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522230,1253547
5,60041,51625,8416,52404,44167,0.84282,8,24,31,50,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1522228,1253546
6,60032,51605,8427,51891,43945,0.84687,11,28,33,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522228,1253545
7,59766,51442,8324,51049,42985,0.84203,12,30,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522225,1253542
8,59824,51447,8377,50825,42859,0.84327,11,28,34,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522229,1253546
9,60521,51984,8537,51005,42825,0.83962,12,29,34,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522230,1253547
10,59438,50973,8465,50611,42541,0.84055,7,22,31,45,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1522223,1253543
11,60631,52109,8522,53006,44827,0.84570,11,28,34,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522230,1253547
12,59598,51272,8326,51792,43729,0.84432,12,28,34,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522230,1253547
