t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,60007,51663,8344,51292,43087,0.84003,10,27,34,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524357,1254351
2,60226,51700,8526,50925,42866,0.84175,12,30,36,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524357,1254351
3,60316,51934,8382,50573,42424,0.83887,10,27,34,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524359,1254353
4,59911,51716,8195,49981,41759,0.83550,12,29,35,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524355,1254350
5,60503,51955,8548,51734,43522,0.84126,6,19,31,76,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1524359,1254353
6,60227,51807,8420,52098,44026,0.84506,5,15,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524359,1254353
7,59999,51695,8304,51674,43610,0.84394,10,26,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524359,1254353
8,60332,51841,8491,51221,43213,0.84366,11,29,36,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524356,1254350
9,60060,51558,8502,50590,42620,0.84246,11,28,34,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524359,1254353
10,59789,51385,8404,50039,41877,0.83689,4,11,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524355,1254349
11,60365,51987,8378,52467,44541,0.84893,4,12,18,47,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1524358,1254353
12,60122,51617,8505,52426,44205,0.84319,5,14,21,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524359,1254353
13,59978,51597,8381,51870,43776,0.84396,9,25,33,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524359,1254353
14,60600,52233,8367,51948,43898,0.84504,11,28,35,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524357,1254352
15,59766,51322,8444,50764,42756,0.84225,12,29,36,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524356,1254350
