t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,59746,51355,8391,51008,42967,0.84236,4,11,17,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527439,1252766
2,60582,52126,8456,51260,43069,0.84021,7,20,29,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527439,1252766
3,60197,51672,8525,50333,42392,0.84223,4,14,24,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527439,1252766
4,59832,51591,8241,49938,41922,0.83948,5,15,23,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527437,1252765
5,60342,51979,8363,51999,43116,0.82917,4,11,17,74,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1527433,1252761
6,59954,51435,8519,51881,43735,0.84299,3,10,16,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527436,1252764
7,60216,51756,8460,51640,43540,0.84314,4,12,17,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527439,1252766
8,60378,51820,8558,51402,43287,0.84213,5,16,23,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527439,1252766
9,60080,51619,8461,50668,42773,0.84418,7,19,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527439,1252766
10,59980,51706,8274,50408,42335,0.83985,11,27,34,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527437,1252764
11,60574,52021,8553,53000,44365,0.83708,7,22,30,63,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1527439,1252766
12,59787,51364,8423,52118,43987,0.84399,4,11,16,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527439,1252766
13,60126,51865,8261,52130,43999,0.84402,5,12,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527439,1252766
14,60464,51962,8502,51880,43768,0.84364,5,13,21,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527439,1252766
15,59788,51452,8336,50937,42748,0.83923,10,25,33,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527437,1252764
16,60472,51939,8533,51427,41253,0.80217,7,19,28,64,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,1532592,1257281
17,60476,51968,8508,51685,41364,0.80031,7,22,30,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532590,1257280
18,59715,51339,8376,50553,42141,0.83360,8,25,33,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532592,1257281
19,60260,51841,8419,50503,42215,0.83589,6,17,26,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532586,1257275
20,60173,51715,8458,49930,41531,0.83178,4,10,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532590,1257279
21,60045,51613,8432,49616,41029,0.82693,9,25,32,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532591,1257280
22,60552,52043,8509,51471,42409,0.82394,7,22,31,82,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1532592,1257281
23,60351,51709,8642,51713,43392,0.83909,10,27,34,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532592,1257281
24,59767,51466,8301,50928,42748,0.83938,7,21,29,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532588,1257277
